Applications/AppTapp Pusher : 1.0
Applications/CodeKit : 26680
Applications/Firefox : 6118.7.4
Applications/Google Chrome Canary : 3488.0
Applications/HiddenMe : 30
Applications/MacPlus : 2
Applications/stts : 26
Frameworks/CoreFoundation : 1542.11
Frameworks/Foundation : 1542.11
Frameworks/AuthenticationServices : 1.0
Frameworks/ContactsUI : 461
Frameworks/MapKit : 1.0
Frameworks/MessageUI : 3445.100.15
Frameworks/MobileCoreServices : 925.2
Frameworks/TransparencyDetailsView : 1
Frameworks/UIKit : 61000
Frameworks/iAd : 1
PrivateFrameworks/AXRuntime : 1
PrivateFrameworks/Accessibility : 1
PrivateFrameworks/AccessibilityUtilities : 1.0
PrivateFrameworks/AddressBookLegacy : 30
PrivateFrameworks/BaseBoardUI : 360.17
PrivateFrameworks/DocumentManager : 68.100.15
PrivateFrameworks/DocumentManagerCore : 68.100.15
PrivateFrameworks/EventKitUI : 1.0
PrivateFrameworks/FrontBoard : 486.38
PrivateFrameworks/FrontBoardUIServices : 486.38
PrivateFrameworks/Home : 1
PrivateFrameworks/HomeUI : 1
PrivateFrameworks/MIME : 3445.100.15
PrivateFrameworks/ManagedConfiguration : 1.0
PrivateFrameworks/MessageSupport : 3445.100.15
PrivateFrameworks/MobileIcons : 369.0
PrivateFrameworks/MobileTimer : 1
PrivateFrameworks/MobileTimerUI : 
PrivateFrameworks/NetAppsUtilitiesUI : 1
PrivateFrameworks/NewsAnalyticsUpload : 1
PrivateFrameworks/NewsCore : 1606
PrivateFrameworks/NewsDaemon : 1
PrivateFrameworks/NewsFeedLayout : 1606
PrivateFrameworks/NewsFoundation : 1606
PrivateFrameworks/NewsServicesInternal : 1606
PrivateFrameworks/NewsTransport : 1606
PrivateFrameworks/NewsUI : 1606
PrivateFrameworks/RemoteConfiguration : 1606
PrivateFrameworks/Silex : 1606
PrivateFrameworks/SilexText : 1
PrivateFrameworks/SilexVideo : 1
PrivateFrameworks/Stocks : 
PrivateFrameworks/TSReading : 243
PrivateFrameworks/TSUtility : 243
PrivateFrameworks/UIAccessibility : 1.0
PrivateFrameworks/UIKitCore : 61000
PrivateFrameworks/UIKitServices : 1
PrivateFrameworks/VoiceMemos : 1.0
PrivateFrameworks/Weather : 1
PrivateFrameworks/WebCore : 14606.1.22.2
PrivateFrameworks/WebKitLegacy : 14606.1.22.2
