Applications/Bartender 3 : 347
Applications/Battle.net : 1.12.2 (10426)
Applications/GIPHY CAPTURE : 23
Applications/GitHub Desktop : 1.3.3
Applications/Google Chrome Canary : 3528.4
Applications/HSTracker : 1957
Applications/HSTracker_launcher : 444.38
Applications/Impactor : 1534061960
Applications/Mail : 3445.100.38
Applications/Mockplus : 3.4.0.3
Applications/Photos : 3401.5.160
Applications/Pinegrow Web Designer : 2.91
Applications/Safari Technology Preview : 14607.1.2.1
Applications/Safari : 14606.1.36.1.6
Utilities/VoiceOver Utility : 562.78.2
Frameworks/AppKit : 1664
Frameworks/CloudKit : 736.130
Frameworks/Contacts : 2899
Frameworks/CoreData : 865.1
Frameworks/CoreFoundation : 1555.10
Frameworks/CoreGraphics : 1245.8.4.4
Frameworks/CoreImage : 700.2.220
Frameworks/CoreMedia : 2280.133.3
Frameworks/CoreServices : 933
Frameworks/Foundation : 1555.10
Frameworks/InputMethodKit : 365.16.25
Frameworks/JavaScriptCore : 14606.1.36.1.6
Frameworks/MediaToolbox : 2280.133.3
Frameworks/NotificationCenter : 746
Frameworks/Photos : 3401.5.160
Frameworks/PhotosUI : 3401.5.160
Frameworks/QuartzCore : 693.16.4.2
Frameworks/SafariServices : 14606.1.36.1.6
Frameworks/VideoToolbox : 2280.133.3
Frameworks/WebKit : 14606.1.36.1.6
PrivateFrameworks/APTransport : 371.6.7
PrivateFrameworks/AVConference : 1430.6.4.3
PrivateFrameworks/AirPlayReceiver : 371.6.7
PrivateFrameworks/AirPlaySender : 371.6.7
PrivateFrameworks/AirPlaySupport : 371.6.7
PrivateFrameworks/AirTrafficHost : 4016.100.900
PrivateFrameworks/CalendarPersistence : 505
PrivateFrameworks/CloudKitDaemon : 736.130
PrivateFrameworks/CloudPhotoServices : 3401.5.160
PrivateFrameworks/CommerceKit : 708.0.78
PrivateFrameworks/ContactsAssistantServices : 146.10.25
PrivateFrameworks/CoreHAP : 484.0.70.4.10
PrivateFrameworks/CoreUI : 498.46
PrivateFrameworks/CrashReporterSupport : 938.23
PrivateFrameworks/DiskImages : 480.201.1
PrivateFrameworks/Email : 3445.100.38
PrivateFrameworks/EmailAddressing : 3445.100.38
PrivateFrameworks/EmailCore : 3445.100.38
PrivateFrameworks/FrontBoardServices : 486.43.5.200
PrivateFrameworks/GameKitServices : 1430.6.4.3
PrivateFrameworks/HomeKit : 484.0.70.4.10
PrivateFrameworks/HomeKitDaemon : 484.0.70.4.10
PrivateFrameworks/IMAP : 3445.100.38
PrivateFrameworks/IOAccelerator : 400.24
PrivateFrameworks/IconServices : 379
PrivateFrameworks/Mail : 3445.100.38
PrivateFrameworks/MailCore : 3445.100.38
PrivateFrameworks/MailService : 3445.100.38
PrivateFrameworks/MailSupport : 3445.100.38
PrivateFrameworks/MailUI : 3445.100.38
PrivateFrameworks/MediaControlSender : 371.6.7
PrivateFrameworks/MetadataUtilities : 1191.50
PrivateFrameworks/MultiverseSupport : 27.200.15
PrivateFrameworks/NotificationCenterUI : 746
PrivateFrameworks/ParsecUI : 1191.50
PrivateFrameworks/PhotoFoundation : 3401.5.160
PrivateFrameworks/PhotoLibrary : 3401.5.160
PrivateFrameworks/PhotoLibraryPrivate : 3401.5.160
PrivateFrameworks/PhotosFormats : 3401.5.160
PrivateFrameworks/PhotosImagingFoundation : 3401.5.160
PrivateFrameworks/RemoteServiceDiscovery : 1336.201.2
PrivateFrameworks/RemoteXPC : 1336.201.2
PrivateFrameworks/Safari : 14606.1.36.1.6
PrivateFrameworks/SafariCore : 14606.1.36.1.6
PrivateFrameworks/SafariSafeBrowsing : 606.1.36.1.6
PrivateFrameworks/SafariShared : 14606.1.36.1.6
PrivateFrameworks/ScreenReader : 562.78.2
PrivateFrameworks/ScreenReaderCore : 562.78.2
PrivateFrameworks/SiriFoundation : 146.10.25
PrivateFrameworks/SiriUI : 146.10.25
PrivateFrameworks/Spotlight : 1191.50
PrivateFrameworks/SpotlightIndex : 1191.50
PrivateFrameworks/SpotlightServerKit : 1191.50
PrivateFrameworks/SpotlightServices : 1191.50
PrivateFrameworks/StoreFoundation : 708.0.78
PrivateFrameworks/StoreJavaScript : 708.0.78
PrivateFrameworks/StoreUI : 708.0.78
PrivateFrameworks/SyncedDefaults : 281
PrivateFrameworks/UIKitHostAppProtocols : 35
PrivateFrameworks/UIKitHostAppServices : 35
PrivateFrameworks/UIKitSystemAppServices : 35
PrivateFrameworks/WebDriver : 14606.1.36.1.6
PrivateFrameworks/WebInspector : 14606.1.36.1.6
PrivateFrameworks/WebInspectorUI : 14606.1.36.1.6
CoreServices/AirPlayUIAgent : 371.6.7
CoreServices/DiskImageMounter : 480.201.1
CoreServices/Finder : 1141
CoreServices/NotificationCenter : 746
CoreServices/Problem Reporter : 938.23
CoreServices/Siri : 146.10.25
CoreServices/Spotlight : 1191.50
CoreServices/UIKitSystem : 35
CoreServices/VoiceOver : 562.78.2
CoreServices/cloudphotosd : 3401.5.160
CoreServices/screencaptureui : 229
Frameworks/MobileCoreServices : 933
PrivateFrameworks/FrontBoard : 486.43.5.200
PrivateFrameworks/FrontBoardUIServices : 486.43.5.200
PrivateFrameworks/TSReading : 254.1
PrivateFrameworks/TSUtility : 254.1
PrivateFrameworks/WebCore : 14606.1.36.1.6
PrivateFrameworks/WebKitLegacy : 14606.1.36.1.6
