Applications/Battle.net : 1.12.8 (10950)
Applications/Google Chrome Canary : 3702.0
Applications/Google Chrome : 3626.96
Applications/Magnet : 54
Applications/Mail : 3445.104.2
Applications/Maps : 2132.24.8.24.49
Applications/News : 2046.1.1
Applications/Notes : 879.2
Applications/Photos : 3441.6.180
Applications/QuickTime Player : 935.3
Applications/Safari Technology Preview : 14608.1.3.0.2
Applications/Safari : 14607.1.30
Applications/Spotify : 1.1.0.237.g378f6f25-15
Applications/Stocks : 311
Utilities/Console : 3.0.17
Utilities/VoiceOver Utility : 562.852
Frameworks/CFNetwork : 978.0.5
Frameworks/CloudKit : 736.214
Frameworks/ColorSync : 3340.6
Frameworks/CoreFoundation : 1570.12
Frameworks/CoreGraphics : 1251.10
Frameworks/CoreLocation : 2245.12.25
Frameworks/CoreMedia : 2286.35
Frameworks/CoreTelephony : 6815
Frameworks/EventKit : 809.4.2
Frameworks/Foundation : 1570.12
Frameworks/InstallerPlugins : 934.2
Frameworks/JavaScriptCore : 14607.1.30
Frameworks/MapKit : 1832.24.8.26.31
Frameworks/MediaToolbox : 2286.35
Frameworks/NotificationCenter : 747.5
Frameworks/Photos : 3441.6.180
Frameworks/PhotosUI : 3441.6.180
Frameworks/QTKit : 3036
Frameworks/QuartzCore : 697.19
Frameworks/QuickTime : 3036
Frameworks/SafariServices : 14607.1.30
Frameworks/Security : 58286.250.72
Frameworks/VideoToolbox : 2286.35
Frameworks/WebKit : 14607.1.30
PrivateFrameworks/APTransport : 377.32
PrivateFrameworks/AccountsUI : 63.4
PrivateFrameworks/AirPlayReceiver : 377.32
PrivateFrameworks/AirPlaySender : 377.32
PrivateFrameworks/AirPlaySupport : 377.32
PrivateFrameworks/AppContainer : 360.250.1
PrivateFrameworks/AppSandbox : 360.250.1
PrivateFrameworks/Apple80211 : 1376.3
PrivateFrameworks/AssetsLibraryServices : 3441.6.180
PrivateFrameworks/Bom : 197.6
PrivateFrameworks/BridgeOSInstall : 56.4
PrivateFrameworks/BridgeOSInstallReporting : 56.4
PrivateFrameworks/C2 : 438.210
PrivateFrameworks/Catalyst : 5.10
PrivateFrameworks/ClassKit : 144.0.25
PrivateFrameworks/CloudKitCode : 736.214
PrivateFrameworks/CloudKitCodeProtobuf : 736.214
PrivateFrameworks/CloudKitDaemon : 736.214
PrivateFrameworks/CloudPhotoLibrary : 3441.0.200
PrivateFrameworks/CloudPhotoServices : 3441.6.180
PrivateFrameworks/ConfigProfileHelper : 1167
PrivateFrameworks/ConfigurationProfiles : 1167
PrivateFrameworks/ContactsAssistantServices : 146.14.9
PrivateFrameworks/CoreHAP : 484.5.14
PrivateFrameworks/CoreParsec : 213.3.21
PrivateFrameworks/CoreRecognition : 112.6
PrivateFrameworks/CoreSuggestions : 680.121
PrivateFrameworks/CoreSuggestionsInternals : 680.121
PrivateFrameworks/CoreThemeDefinition : 348.1
PrivateFrameworks/CoreUI : 499.4
PrivateFrameworks/CoreUtils : 576.39
PrivateFrameworks/DCIMServices : 3441.6.180
PrivateFrameworks/EasyConfig : 576.39
PrivateFrameworks/Email : 3445.104.2
PrivateFrameworks/EmailAddressing : 3445.104.2
PrivateFrameworks/EmailCore : 3445.104.2
PrivateFrameworks/ExchangeWebServices : 309
PrivateFrameworks/GPUInfo : 1.1.6
PrivateFrameworks/GPUWrangler : 3.30.12
PrivateFrameworks/GeoServices : 1364.24.8.24.34
PrivateFrameworks/HelpData : 184.4
PrivateFrameworks/HomeKit : 484.5.14
PrivateFrameworks/HomeKitDaemon : 484.5.14
PrivateFrameworks/IMAP : 3445.104.2
PrivateFrameworks/IOAccelerator : 404.8
PrivateFrameworks/LinguisticData : 238.24
PrivateFrameworks/LinkPresentation : 59.41
PrivateFrameworks/LoggingSupport : 906.250.4
PrivateFrameworks/MMCS : 438.210
PrivateFrameworks/Mail : 3445.104.2
PrivateFrameworks/MailCore : 3445.104.2
PrivateFrameworks/MailService : 3445.104.2
PrivateFrameworks/MailSupport : 3445.104.2
PrivateFrameworks/MailUI : 3445.104.2
PrivateFrameworks/ManagedClient : 1167
PrivateFrameworks/MediaControlSender : 377.32
PrivateFrameworks/MetadataUtilities : 1191.55
PrivateFrameworks/MultitouchSupport : 2440.6
PrivateFrameworks/MultiverseSupport : 27.250.7
PrivateFrameworks/Notes : 879.2
PrivateFrameworks/NotesShared : 879.2
PrivateFrameworks/NotesUI : 879.2
PrivateFrameworks/NotificationCenterUI : 747.5
PrivateFrameworks/OSInstaller : 1157
PrivateFrameworks/ParsecUI : 1191.55
PrivateFrameworks/PhotoFoundation : 3441.6.180
PrivateFrameworks/PhotoLibrary : 3441.6.180
PrivateFrameworks/PhotoLibraryPrivate : 3441.6.180
PrivateFrameworks/PhotosFormats : 3441.6.180
PrivateFrameworks/PhotosImagingFoundation : 3441.6.180
PrivateFrameworks/Rapport : 166.31
PrivateFrameworks/RapportUI : 166.31
PrivateFrameworks/RemoteServiceDiscovery : 1336.250.7
PrivateFrameworks/RemoteXPC : 1336.250.7
PrivateFrameworks/Safari : 14607.1.30
PrivateFrameworks/SafariCore : 14607.1.30
PrivateFrameworks/SafariSafeBrowsing : 14607.1.30
PrivateFrameworks/SafariShared : 14607.1.30
PrivateFrameworks/ScreenReader : 562.852
PrivateFrameworks/ScreenReaderCore : 562.852
PrivateFrameworks/SearchFoundation : 213.3.21
PrivateFrameworks/SecCodeWrapper : 360.250.1
PrivateFrameworks/Sharing : 1288.11
PrivateFrameworks/SiriFoundation : 146.14.9
PrivateFrameworks/SiriUI : 146.14.9
PrivateFrameworks/Spotlight : 1191.55
PrivateFrameworks/SpotlightIndex : 1191.55
PrivateFrameworks/SpotlightServerKit : 1191.55
PrivateFrameworks/SpotlightServices : 1191.55
PrivateFrameworks/StorageKit : 480.24
PrivateFrameworks/Symbolication : 64490.33
PrivateFrameworks/URLFormatting : 59.41
PrivateFrameworks/UniversalAccess : 361.51
