Applications/Calendar : 2245.5.1
Applications/Contacts : 1894
Applications/Cyberduck : 30164
Applications/Firefox : 6619.3.26
Applications/GitHub Desktop : 1.6.5
Applications/Google Chrome Canary : 3764.0
Applications/Image2Icon : 821
Applications/News : 2119
Applications/Notes : 879.10
Applications/Photos : 3451.6.240
Applications/Safari : 14607.2.3
Applications/Stocks : 316
Applications/iTerm : 3.2.8
Utilities/Bluetooth File Exchange : 6.0.12d16
Utilities/Boot Camp Assistant : 6067.260.24
Utilities/VoiceOver Utility : 562.857
Frameworks/AVFoundation : 1548.18
Frameworks/AddressBook : 1894
Frameworks/AppKit : 1671.50.103
Frameworks/CloudKit : 736.221
Frameworks/ContactsUI : 1894
Frameworks/CoreDisplay : 109.15
Frameworks/CoreFoundation : 1575.12
Frameworks/CoreLocation : 2245.16.10
Frameworks/CoreMedia : 2288.33
Frameworks/CoreWLAN : 1375.1
Frameworks/EventKit : 809.5.1
Frameworks/Foundation : 1575.12
Frameworks/IOBluetooth : 6.0.12d16
Frameworks/IOBluetoothUI : 6.0.12d16
Frameworks/IOSurface : 255.5.4
Frameworks/ImageIO : 1850.2
Frameworks/JavaScriptCore : 14607.2.3
Frameworks/MediaToolbox : 2288.33
Frameworks/Metal : 161.9.16
Frameworks/Photos : 3451.6.240
Frameworks/PhotosUI : 3451.6.240
Frameworks/QuartzCore : 699.23
Frameworks/SafariServices : 14607.2.3
Frameworks/Security : 58286.260.16
Frameworks/VideoSubscriberAccount : 285
Frameworks/VideoToolbox : 2288.33
Frameworks/WebKit : 14607.2.3
PrivateFrameworks/APTransport : 381.13
PrivateFrameworks/AVConference : 1470.4.1
PrivateFrameworks/AVFoundationCF : 278.21
PrivateFrameworks/AddressBookAutocomplete : 1894
PrivateFrameworks/AirPlayReceiver : 381.13
PrivateFrameworks/AirPlaySender : 381.13
PrivateFrameworks/AirPlaySupport : 381.13
PrivateFrameworks/Apple80211 : 1380.1
PrivateFrameworks/AppleGVA : 11.10.12
PrivateFrameworks/AppleGVACore : 11.10.12
PrivateFrameworks/AssetsLibraryServices : 3451.6.240
PrivateFrameworks/CalendarAgent : 416.5.1
PrivateFrameworks/CloudKitCode : 736.221
PrivateFrameworks/CloudKitCodeProtobuf : 736.221
PrivateFrameworks/CloudKitDaemon : 736.221
PrivateFrameworks/CloudPhotoServices : 3451.6.240
PrivateFrameworks/CommerceKit : 708.4
PrivateFrameworks/CoreHAP : 484.6.2
PrivateFrameworks/CoreThemeDefinition : 349
