Applications/Battle.net : 1.14.0 (11125)
Applications/Books : 1645
Applications/Google Chrome Canary : 3785.0
Applications/Google Chrome : 3729.131
Applications/Keka : 3300
Applications/MTGArena : Wineskin 2.6.2
Applications/Magnet : 59
Applications/Mail : 3445.104.11
Applications/News : 2133
Applications/PhotoScapeX : 301
Applications/Photos : 3451.7.120
Applications/Safari Technology Preview : 14608.1.19.5
Applications/Safari : 14607.2.6
Utilities/Boot Camp Assistant : 6067.260.27
Utilities/Terminal : 421.2
Frameworks/AppKit : 1671.50.109
Frameworks/CoreDisplay : 109.19
Frameworks/CoreGraphics : 1260.2
Frameworks/CoreMedia : 2288.40
Frameworks/CoreServices : 945
Frameworks/CoreWLAN : 1375.2
Frameworks/JavaScriptCore : 14607.2.6
Frameworks/MediaToolbox : 2288.40
Frameworks/Photos : 3451.7.120
Frameworks/PhotosUI : 3451.7.120
Frameworks/QuartzCore : 699.27.4.1
Frameworks/SafariServices : 14607.2.6
Frameworks/VideoToolbox : 2288.40
Frameworks/WebKit : 14607.2.6
PrivateFrameworks/APTransport : 383.4.2
PrivateFrameworks/AirPlayReceiver : 383.4.2
PrivateFrameworks/AirPlaySender : 383.4.2
PrivateFrameworks/AirPlaySupport : 383.4.2
PrivateFrameworks/AppleGVA : 11.10.16
PrivateFrameworks/AppleGVACore : 11.10.16
PrivateFrameworks/CloudPhotoLibrary : 3451.1.130
PrivateFrameworks/CloudPhotoServices : 3451.7.120
PrivateFrameworks/CommerceKit : 708.4.2
PrivateFrameworks/CoreWLANKit : 1375.2
PrivateFrameworks/CoreWiFi : 1375.2
PrivateFrameworks/Email : 3445.104.11
PrivateFrameworks/EmailAddressing : 3445.104.11
PrivateFrameworks/EmailCore : 3445.104.11
PrivateFrameworks/IMAP : 3445.104.11
PrivateFrameworks/Mail : 3445.104.11
PrivateFrameworks/MailCore : 3445.104.11
PrivateFrameworks/MailService : 3445.104.11
PrivateFrameworks/MailSupport : 3445.104.11
PrivateFrameworks/MailUI : 3445.104.11
PrivateFrameworks/MediaControlSender : 383.4.2
PrivateFrameworks/PhotoFoundation : 3451.7.120
PrivateFrameworks/PhotoLibrary : 3451.7.120
PrivateFrameworks/PhotoLibraryPrivate : 3451.7.120
PrivateFrameworks/PhotosFormats : 3451.7.120
PrivateFrameworks/PhotosImagingFoundation : 3451.7.120
PrivateFrameworks/PhotosPlayer : 3451.4.110
PrivateFrameworks/PhotosUICore : 3451.4.200
PrivateFrameworks/PlacesKit : 3451.4.200
PrivateFrameworks/Rapport : 170.18
PrivateFrameworks/RapportUI : 170.18
PrivateFrameworks/RemoteServiceDiscovery : 1336.261.2
PrivateFrameworks/RemoteXPC : 1336.261.2
PrivateFrameworks/Restore : 496.1
PrivateFrameworks/Safari : 14607.2.6
PrivateFrameworks/SafariCore : 14607.2.6
PrivateFrameworks/SafariSafeBrowsing : 14607.2.6
PrivateFrameworks/SafariShared : 14607.2.6
PrivateFrameworks/StoreFoundation : 708.4.2
PrivateFrameworks/StoreJavaScript : 708.4.2
PrivateFrameworks/StoreUI : 708.4.2
PrivateFrameworks/SystemMigration : 1201
PrivateFrameworks/WebDriver : 14607.2.6
PrivateFrameworks/WebInspector : 14607.2.6
PrivateFrameworks/WebInspectorUI : 14607.2.6
CoreServices/AirPlayUIAgent : 383.4.2
CoreServices/CoreServicesUIAgent : 224
CoreServices/Paired Devices : 170.18
CoreServices/RapportUIAgent : 170.18
CoreServices/cloudphotosd : 3451.7.120
Frameworks/MessageUI : 3445.104.11
Frameworks/MobileCoreServices : 945
PrivateFrameworks/NewsCore : 2133
PrivateFrameworks/NewsFeedLayout : 2133
PrivateFrameworks/NewsFoundation : 2133
PrivateFrameworks/NewsServicesInternal : 2133
PrivateFrameworks/NewsTransport : 2133
PrivateFrameworks/NewsUI : 2133
PrivateFrameworks/RemoteConfiguration : 2133
PrivateFrameworks/Silex : 2133
PrivateFrameworks/WebCore : 14607.2.6
PrivateFrameworks/WebKitLegacy : 14607.2.6
