Applications/Google Chrome Canary : 3857.0
Applications/Google Chrome : 3770.142
Applications/Keka : 3323
Applications/Magnet : 67
Applications/Safari Technology Preview : 15608.1.33.2
Applications/Safari : 15608.1.34.1.1
Applications/stts : 35
Frameworks/AVFoundation : 1716
Frameworks/AVKit : 583
Frameworks/AddressBook : 2398
Frameworks/AppKit : 1868.10.104
Frameworks/AudioVideoBridging : 800.13
Frameworks/CFNetwork : 1091
Frameworks/CloudKit : 825
Frameworks/ColorSync : 3392
Frameworks/Combine : 123
Frameworks/Contacts : 3441
Frameworks/ContactsUI : 2398
Frameworks/CoreData : 957
Frameworks/CoreFoundation : 1661.11
Frameworks/CoreGraphics : 1339
Frameworks/CoreImage : 800.6.120
Frameworks/CoreLocation : 2384
Frameworks/CoreMedia : 2494.2.4.2
Frameworks/CoreMediaIO : 5125
Frameworks/CoreMotion : 2384
Frameworks/CoreServices : 1059.3
Frameworks/CoreSpotlight : 2050.1
Frameworks/CoreTelephony : 7219
Frameworks/EventKit : 1345
Frameworks/FileProvider : 229
Frameworks/FileProviderUI : 26
Frameworks/Foundation : 1661.11
Frameworks/GameKit : 656
Frameworks/IOBluetooth : 7.0.0d98
Frameworks/IOBluetoothUI : 7.0.0d98
Frameworks/IOSurface : 269.6
Frameworks/ImageIO : 1964
Frameworks/InputMethodKit : 421
Frameworks/JavaScriptCore : 15608.1.34.1.1
Frameworks/LinkPresentation : 116
Frameworks/LocalAuthentication : 690
Frameworks/Logging : 1142
Frameworks/MapKit : 2068.20.7.2.1
Frameworks/MediaAccessibility : 124
Frameworks/MediaLibrary : 776
Frameworks/MediaToolbox : 2494.2.4.2
Frameworks/Metal : 211.37
Frameworks/NaturalLanguage : 52
Frameworks/NotificationCenter : 805.1
Frameworks/OpenGL : 17.10.22
Frameworks/PDFKit : 820.4.1
Frameworks/Photos : 101.11.103
Frameworks/PhotosUI : 101.11.103
Frameworks/QuartzCore : 808
Frameworks/QuickLook : 892.1
Frameworks/RealityKit : 31.18.0.2
Frameworks/SafariServices : 15608.1.34.1.1
Frameworks/Security : 59296.0.0.0.2
Frameworks/SystemExtensions : 31
Frameworks/VideoSubscriberAccount : 304
Frameworks/VideoToolbox : 2494.2.4.2
Frameworks/Vision : 3.0.57
Frameworks/WebKit : 15608.1.34.1.1
PrivateFrameworks/AOSAccounts : 144
PrivateFrameworks/AOSAccountsLite : 144
PrivateFrameworks/AOSKit : 273
PrivateFrameworks/AOSUI : 706
PrivateFrameworks/APFS : 1409.0.0
PrivateFrameworks/APTransport : 405.13.81
PrivateFrameworks/AVConference : 1610.4.3
PrivateFrameworks/AVFoundationCF : 334
PrivateFrameworks/AccessibilityBundles : 123
PrivateFrameworks/AccessibilityPerformance : 197
PrivateFrameworks/AccessibilitySupport : 197
PrivateFrameworks/AccountsUI : 86
PrivateFrameworks/AddressBookAutocomplete : 2398
PrivateFrameworks/AirPlayReceiver : 405.13.81
