Applications/Battle.net : 1.15.1 (11347)
Applications/Discord : 0.0.255
Applications/Download Shuttle : 24
Applications/GitHub Desktop : 2.1.1
Applications/Google Chrome Canary : 3887.0
Applications/Google Chrome : 3809.100
Applications/HSTracker : 2024
Applications/HiddenMe : 38
Applications/ImageOptim : 1.8.8
Applications/Keynote : 6369
Applications/MacForge : 837
Applications/Numbers : 6369
Applications/Pages : 6369
Applications/Plex Media Server : 1.16.4.1469
Applications/Safari Technology Preview : 15609.1.1
Applications/Safari : 15608.2.2
Applications/Xcode-beta : 14908.4
Applications/Yack! - Beta : 50.0.154
Applications/iTunes Volume Control : 1.6.6.251
Frameworks/AVFoundation : 1722.8
Frameworks/AVKit : 587
Frameworks/AddressBook : 2407.1
Frameworks/AppKit : 1873.10.102
Frameworks/AudioVideoBridging : 800.16
Frameworks/Automator : 485
Frameworks/CFNetwork : 1103
Frameworks/CloudKit : 832
Frameworks/ColorSync : 3394
Frameworks/Combine : 129
Frameworks/Contacts : 3447.2
Frameworks/ContactsUI : 2407.1
Frameworks/CoreData : 965.1
Frameworks/CoreFoundation : 1667.10
Frameworks/CoreGraphics : 1348
Frameworks/CoreImage : 900.2
Frameworks/CoreLocation : 2387.0.3
Frameworks/CoreMedia : 2501.11
Frameworks/CoreMotion : 2387.0.3
Frameworks/CoreServices : 1063.1
Frameworks/CoreSpotlight : 2057.1
Frameworks/CoreTelephony : 7252
Frameworks/CoreText : 638.1
Frameworks/EventKit : 1355
Frameworks/FileProvider : 236
Frameworks/Foundation : 1667.10
Frameworks/GLKit : 108
Frameworks/GameKit : 665
Frameworks/ICADevices : 1600.4.1.1
Frameworks/IOBluetooth : 7.0.0d105
Frameworks/IOBluetoothUI : 7.0.0d105
Frameworks/ImageCaptureCore : 1600.4.1.1
Frameworks/ImageIO : 1972
Frameworks/InstallerPlugins : 959
Frameworks/JavaScriptCore : 15608.2.2
Frameworks/LinkPresentation : 119.5
Frameworks/LocalAuthentication : 693.0.8
Frameworks/MapKit : 2086.20.7.31.1
Frameworks/MediaLibrary : 777
Frameworks/MediaToolbox : 2501.11
Frameworks/Metal : 211.45
Frameworks/MetalKit : 137
Frameworks/ModelIO : 217
Frameworks/NaturalLanguage : 57
Frameworks/NotificationCenter : 823
Frameworks/OSLog : 1147.0.3
Frameworks/PDFKit : 825
Frameworks/Photos : 101.12.160
Frameworks/PhotosUI : 101.12.160
Frameworks/QuartzCore : 815
Frameworks/QuickLook : 897
Frameworks/RealityKit : 31.36
Frameworks/SafariServices : 15608.2.2
Frameworks/SceneKit : 538.1
Frameworks/Security : 59306.0.19
Frameworks/SecurityInterface : 55139.0.1
Frameworks/SystemExtensions : 35.0.12
Frameworks/VideoSubscriberAccount : 311
Frameworks/VideoToolbox : 2501.11
Frameworks/Vision : 3.0.60
Frameworks/WebKit : 15608.2.2
PrivateFrameworks/AOSAccounts : 147
PrivateFrameworks/AOSAccountsLite : 147
PrivateFrameworks/AOSUI : 710
PrivateFrameworks/APFS : 1412.0.16
PrivateFrameworks/APTransport : 406.11
PrivateFrameworks/AVConference : 1624
PrivateFrameworks/AVFoundationCF : 347
PrivateFrameworks/AccessibilityBundles : 125
PrivateFrameworks/AccessibilityPerformance : 204
PrivateFrameworks/AccessibilitySupport : 204
PrivateFrameworks/AddressBookAutocomplete : 2407.1
PrivateFrameworks/AirPlayReceiver : 406.11
PrivateFrameworks/AirPlaySender : 406.11
PrivateFrameworks/AirPlaySupport : 406.11
PrivateFrameworks/AnnotationKit : 313
PrivateFrameworks/AppContainer : 448.0.1
PrivateFrameworks/AppSandbox : 448.0.1
PrivateFrameworks/AppServerSupport : 1738.0.11
PrivateFrameworks/AppleGVA : 56.2
PrivateFrameworks/AppleGVACore : 56.2
PrivateFrameworks/AssertionServices : 223.0.3
PrivateFrameworks/AssetsLibraryServices : 101.12.160
PrivateFrameworks/AssistiveControlSupport : 279
PrivateFrameworks/AutoBugCaptureCore : 1238.0.1
PrivateFrameworks/BaseBoard : 456
PrivateFrameworks/BoardServices : 456
PrivateFrameworks/BookCoverUtility : 1264
PrivateFrameworks/BookKit : 1264
PrivateFrameworks/BookUtility : 1264
PrivateFrameworks/CSCSupport : 360.0.4
PrivateFrameworks/CalendarFoundation : 1131
PrivateFrameworks/CalendarUIKit : 782
PrivateFrameworks/CallHistory : 973
PrivateFrameworks/Categories : 4.6
PrivateFrameworks/ClassKit : 145.0.107
PrivateFrameworks/CloudDocs : 649
PrivateFrameworks/CloudKitCode : 832
PrivateFrameworks/CloudKitCodeProtobuf : 832
PrivateFrameworks/CloudKitDaemon : 832
PrivateFrameworks/CloudPhotoLibrary : 101.12.160
PrivateFrameworks/CloudPhotoServices : 101.12.160
PrivateFrameworks/CloudPhotoServicesConfiguration : 101.12.160
PrivateFrameworks/CloudServices : 384.0.2
PrivateFrameworks/CombineCocoa : 129
PrivateFrameworks/ConfigProfileHelper : 1248
PrivateFrameworks/ConfigurationEngineModel : 30.66
PrivateFrameworks/ConfigurationProfiles : 1248
PrivateFrameworks/ContactsAutocomplete : 1131
PrivateFrameworks/CoreChineseEngine : 447
PrivateFrameworks/CoreEmoji : 100
PrivateFrameworks/CoreHAP : 617
PrivateFrameworks/CoreMediaStream : 101.12.160
PrivateFrameworks/CoreNavigation : 165
PrivateFrameworks/CoreParsec : 306
PrivateFrameworks/CoreRE : 31.36
PrivateFrameworks/CoreRoutine : 682
PrivateFrameworks/CoreSVG : 128
PrivateFrameworks/CoreServicesInternal : 442
PrivateFrameworks/CoreServicesStore : 1063.1
PrivateFrameworks/CoreSuggestions : 1040
PrivateFrameworks/CoreSuggestionsInternals : 1040
PrivateFrameworks/CoreSuggestionsML : 1040
PrivateFrameworks/CoreSuggestionsUI : 1040
PrivateFrameworks/CoreThemeDefinition : 441
PrivateFrameworks/CoreUI : 601
PrivateFrameworks/CoreUtils : 600.20
PrivateFrameworks/CrashReporterSupport : 15009
PrivateFrameworks/DCIMServices : 101.12.160
PrivateFrameworks/DFRFoundation : 236
PrivateFrameworks/DataDetectors : 408
PrivateFrameworks/DataDetectorsCore : 659
PrivateFrameworks/DeviceManagement : 30.66
PrivateFrameworks/DirectoryEditor : 54
PrivateFrameworks/DiskManagement : 1648.0.2
PrivateFrameworks/DistributedEvaluation : 206.6
PrivateFrameworks/EasyConfig : 600.20
PrivateFrameworks/Email : 3578.1
PrivateFrameworks/EmailAddressing : 3578.1
PrivateFrameworks/EmailCore : 3578.1
PrivateFrameworks/EmailDaemon : 3578.1
PrivateFrameworks/EmailFoundation : 3578.1
PrivateFrameworks/Espresso : 188.0.1
PrivateFrameworks/ExchangeSync : 115
PrivateFrameworks/FileProvider : 236
PrivateFrameworks/FileProviderDaemon : 236
PrivateFrameworks/FoundInAppsPlugins : 1040
PrivateFrameworks/FrontBoardServices : 614
PrivateFrameworks/GPUInfo : 1.2.25
PrivateFrameworks/GameCenterFoundation : 665
PrivateFrameworks/GameCenterUI : 665
PrivateFrameworks/GameKitServices : 1624
PrivateFrameworks/GeoServices : 1616.20.7.31.1
PrivateFrameworks/Geode : 101.12.160
PrivateFrameworks/HDRProcessing : 1.54.0
PrivateFrameworks/HMFoundation : 556
PrivateFrameworks/HelloWorldMacHelper : 177
PrivateFrameworks/HomeAI : 72
PrivateFrameworks/HomeKit : 617
PrivateFrameworks/HomeKitDaemon : 617
PrivateFrameworks/IASUtilities : 540
PrivateFrameworks/IMAP : 3578.1
