Applications/DB Browser for SQLite : 3.10.1
Applications/Discord : 0.0.255
Applications/GIMP : 2.8.22
Applications/GitHub Desktop : 2.1.3
Applications/Google Chrome Canary : 3895.0
Applications/Google Chrome : 3809.132
Applications/HSTracker : 2024
Applications/HandBrake : 2019022300
Applications/HiddenMe : 40
Applications/Logi Options : 7.14.77
Applications/Numbers : 6369
Applications/Pages : 6369
Applications/Private Internet Access : 82.0.0
Applications/RuneScape : 1.0
Applications/Safari Technology Preview : 15609.1.2.2
Applications/Safari : 15608.2.5
Applications/Spotify : 1.1.12.451.gdb77255f-47
Applications/Visual Studio Code : 1.24.1
Applications/Xcode-beta : 14908.4
Applications/Yack! - Beta : 50.0.156
Applications/cDock : 5991
Utilities/LogiMgr Uninstaller : 7.14.77
Frameworks/AGL : 2567
Frameworks/AVKit : 5
Frameworks/Accelerate : 985
Frameworks/Accounts : 35
Frameworks/AddressBook : 64
Frameworks/AppKit : 11
Frameworks/ApplicationServices : 1158
Frameworks/AudioToolbox : 59
Frameworks/AudioUnit : 11
Frameworks/AudioVideoBridging : 5
Frameworks/AuthenticationServices : 26
Frameworks/Automator : 8
Frameworks/BackgroundTasks : 11
Frameworks/CFNetwork : 35
Frameworks/CallKit : 11
Frameworks/Carbon : 2436
Frameworks/CloudKit : 45
Frameworks/Cocoa : 9313
Frameworks/ColorSync : 25
Frameworks/Combine : 28
Frameworks/Contacts : 25
Frameworks/ContactsUI : 28
Frameworks/CoreAudio : 113
Frameworks/CoreAudioKit : 311
Frameworks/CoreAudioTypes : 59
Frameworks/CoreBluetooth : 28
Frameworks/CoreData : 15
Frameworks/CoreFoundation : 31
Frameworks/CoreGraphics : 30
Frameworks/CoreHaptics : 29
Frameworks/CoreImage : 9
Frameworks/CoreLocation : 11
Frameworks/CoreMIDI : 161
Frameworks/CoreMIDIServer : 161
Frameworks/CoreML : 9
Frameworks/CoreMedia : 6
Frameworks/CoreMediaIO : 88
Frameworks/CoreMotion : 11
Frameworks/CoreServices : 108
Frameworks/CoreSpotlight : 1
Frameworks/CoreTelephony : 18
Frameworks/CoreText : 44
Frameworks/CoreWLAN : 28
Frameworks/CryptoKit : 459
Frameworks/CryptoTokenKit : 34
Frameworks/DVDPlayback : 17
Frameworks/DeviceCheck : 5225
Frameworks/DirectoryService : 559
Frameworks/DiskArbitration : 5
Frameworks/DriverKit : 25
Frameworks/EventKit : 41
Frameworks/ExecutionPolicy : 7
Frameworks/ExternalAccessory : 17
Frameworks/FWAUserLib : 16
Frameworks/FileProvider : 10
Frameworks/FinderSync : 8
Frameworks/ForceFeedback : 2627
Frameworks/Foundation : 31
Frameworks/GLKit : 66
Frameworks/GLUT : 202
Frameworks/GSS : 22
Frameworks/GameController : 92
Frameworks/GameKit : 422
Frameworks/HIDDriverKit : 29
Frameworks/Hypervisor : 711
Frameworks/ICADevices : 11
Frameworks/IMServicePlugIn : 1
Frameworks/IOBluetooth : 58
Frameworks/IOBluetoothUI : 56
Frameworks/IOKit : 15
Frameworks/IOUSBHost : 13
Frameworks/IdentityLookup : 11
Frameworks/ImageCaptureCore : 11
Frameworks/ImageIO : 30
Frameworks/InstallerPlugins : 2
Frameworks/Intents : 22
Frameworks/JavaScriptCore : 25
Frameworks/Kerberos : 219
Frameworks/Kernel : 17
Frameworks/LDAP : 52
Frameworks/LatentSemanticMapping : 1758
Frameworks/LinkPresentation : 24
Frameworks/LocalAuthentication : 69
Frameworks/MapKit : 10
Frameworks/MediaAccessibility : 67
Frameworks/MediaPlayer : 6
Frameworks/MediaToolbox : 7
Frameworks/Message : 11452
Frameworks/MetalKit : 2
Frameworks/MetalPerformanceShaders : 8
Frameworks/MetricKit : 59
Frameworks/NaturalLanguage : 41
Frameworks/Network : 4
Frameworks/NetworkExtension : 29
Frameworks/NetworkingDriverKit : 82
Frameworks/NotificationCenter : 6
Frameworks/OSLog : 19
Frameworks/OpenAL : 158
Frameworks/OpenCL : 345
Frameworks/OpenDirectory : 559
Frameworks/OpenGL : 895
Frameworks/PCSC : 2
Frameworks/PDFKit : 7
Frameworks/PencilKit : 20
Frameworks/Photos : 1
Frameworks/PhotosUI : 1
Frameworks/PreferencePanes : 6
Frameworks/PushKit : 268
Frameworks/Python : 194
Frameworks/Quartz : 6554
Frameworks/QuickLook : 3
Frameworks/QuickLookThumbnailing : 10
Frameworks/RealityKit : 18
Frameworks/Ruby : 152
Frameworks/SafariServices : 8
Frameworks/SceneKit : 21
Frameworks/Security : 59
Frameworks/SecurityFoundation : 2620
Frameworks/SecurityInterface : 99
Frameworks/ServiceManagement : 19
Frameworks/Social : 61
Frameworks/SoundAnalysis : 583
Frameworks/StoreKit : 33
Frameworks/SwiftUI : 10
Frameworks/System : 36236
Frameworks/SystemConfiguration : 23
Frameworks/SystemExtensions : 7
Frameworks/Tcl : 400
Frameworks/USBDriverKit : 13
Frameworks/UserNotifications : 21
Frameworks/VideoDecodeAcceleration : 3924
Frameworks/VideoSubscriberAccount : 9
Frameworks/VideoToolbox : 6
Frameworks/Vision : 115
Frameworks/WebKit : 17
Frameworks/iTunesLibrary : 16
Frameworks/vecLib : 985
Frameworks/vmnet : 49
PrivateFrameworks/AMPDevices : 14
PrivateFrameworks/AMPLibrary : 18
PrivateFrameworks/AMPSharing : 8
PrivateFrameworks/AOSMigrate : 12373
PrivateFrameworks/AOSUI : 8
PrivateFrameworks/APFS : 2
PrivateFrameworks/AVConference : 1
PrivateFrameworks/AVFoundationCF : 12
PrivateFrameworks/AXCoreUtilities : 71
PrivateFrameworks/AXHearingCoreSupport : 2517
PrivateFrameworks/AXHearingSupport : 2517
PrivateFrameworks/AXMediaUtilities : 2
PrivateFrameworks/AXRuntime : 71
PrivateFrameworks/AccessibilityBundles : 8
PrivateFrameworks/AccessibilityPerformance : 8
PrivateFrameworks/AccessibilityPlatformTranslation : 29
PrivateFrameworks/AccessibilitySharedSupport : 29
PrivateFrameworks/AccessibilitySupport : 8
PrivateFrameworks/AccessoryNowPlaying : 11
PrivateFrameworks/AccountsDaemon : 35
PrivateFrameworks/AccountsUI : 6
PrivateFrameworks/ActionKit : 14
PrivateFrameworks/AdAnalytics : 8
PrivateFrameworks/AddressBookAutocomplete : 28
PrivateFrameworks/AddressBookCore : 64
PrivateFrameworks/Admin : 3
PrivateFrameworks/AirPlayReceiver : 7
PrivateFrameworks/AirPlaySender : 7
PrivateFrameworks/AirTrafficHost : 26
PrivateFrameworks/AmbientDisplay : 2
PrivateFrameworks/AnnotationKit : 26
PrivateFrameworks/AppSSO : 14
PrivateFrameworks/AppSSOCore : 14
PrivateFrameworks/AppSSOKerberos : 14
PrivateFrameworks/AppSSOUI : 14
PrivateFrameworks/AppServerSupport : 19
PrivateFrameworks/AppStoreDaemon : 53
PrivateFrameworks/AppStoreFoundation : 53
PrivateFrameworks/AppStoreKit : 46
PrivateFrameworks/AppStoreUI : 8
PrivateFrameworks/AppSupport : 2836
PrivateFrameworks/Apple80211 : 6
PrivateFrameworks/AppleAccount : 24
PrivateFrameworks/AppleAppSupport : 6554
PrivateFrameworks/AppleFSCompression : 5839
PrivateFrameworks/AppleGVA : 7
PrivateFrameworks/AppleGVACore : 7
PrivateFrameworks/AppleJPEG : 130
PrivateFrameworks/AppleMediaServices : 123
PrivateFrameworks/AppleMediaServicesUI : 32
PrivateFrameworks/ApplePushService : 278
PrivateFrameworks/AppleSRP : 6519
PrivateFrameworks/AppleSauce : 1876
PrivateFrameworks/AppleShareClientCore : 1553
PrivateFrameworks/AppleSystemInfo : 407
PrivateFrameworks/AppleVA : 1211
PrivateFrameworks/AppleVPA : 174
PrivateFrameworks/AskPermission : 13
PrivateFrameworks/AssertionServices : 6
PrivateFrameworks/AssetsLibraryServices : 1
PrivateFrameworks/AssistantServices : 33
PrivateFrameworks/AssistiveControlSupport : 9
PrivateFrameworks/AttributeGraph : 123
PrivateFrameworks/AudioPasscode : 1798
PrivateFrameworks/AudioServerApplication : 841
PrivateFrameworks/AudioServerDriver : 841
PrivateFrameworks/AudioSession : 181
PrivateFrameworks/AudioToolboxCore : 59
PrivateFrameworks/AuthKit : 35
PrivateFrameworks/AuthKitUI : 32
PrivateFrameworks/AuthenticationServices : 26
PrivateFrameworks/AutoBugCaptureCore : 19
PrivateFrameworks/BackBoardServices : 388
PrivateFrameworks/Backup : 8
PrivateFrameworks/BaseBoard : 21
PrivateFrameworks/BehaviorMiner : 9
PrivateFrameworks/BiometricKit : 23
PrivateFrameworks/BiometricKitUI : 11
PrivateFrameworks/BiometricSupport : 18
PrivateFrameworks/BluetoothAudio : 53
PrivateFrameworks/BluetoothManager : 28
PrivateFrameworks/BoardServices : 21
PrivateFrameworks/Bom : 964
PrivateFrameworks/BookCoverUtility : 2
PrivateFrameworks/BookKit : 2
PrivateFrameworks/BookKitFoundation : 2
PrivateFrameworks/BookUtility : 2
PrivateFrameworks/BridgeOSInstall : 2
PrivateFrameworks/BridgeOSInstallReporting : 2
PrivateFrameworks/BridgeOSObliteration : 15
PrivateFrameworks/BridgeOSSoftwareUpdate : 612
PrivateFrameworks/ByteRangeLocking : 1506
PrivateFrameworks/C2 : 10
PrivateFrameworks/CDDataAccess : 24
PrivateFrameworks/CDDataAccessExpress : 24
PrivateFrameworks/CSCSupport : 7
PrivateFrameworks/CacheDelete : 14
PrivateFrameworks/CalDAV : 26
