Applications/GitHub Desktop : 2.2.0
Applications/Google Chrome Canary : 3931.0
Applications/Safari Technology Preview : 15609.1.5
Applications/Safari : 15608.2.30.1.1
Applications/Spotify : 1.1.16.522.g55a4b852-34
Applications/cDock : 6195
Applications/Mail : 3594.4.19
Applications/Reminders : 2014.2
Utilities/Boot Camp Assistant : 6170.0.25
Frameworks/AddressBook : 21
Frameworks/AppKit : 5
Frameworks/AuthenticationServices : 6
Frameworks/Cocoa : 10027
Frameworks/Contacts : 7
Frameworks/CoreDisplay : 5
Frameworks/DiscRecording : 496
Frameworks/DiscRecordingUI : 496
Frameworks/GameKit : 207
Frameworks/HIDDriverKit : 10
Frameworks/IOUSBHost : 72
Frameworks/JavaScriptCore : 6
Frameworks/Quartz : 7083
Frameworks/QuickLook : 7
Frameworks/System : 56744
Frameworks/USBDriverKit : 72
Frameworks/WebKit : 12
Frameworks/iTunesLibrary : 4
PrivateFrameworks/AMPDevices : 8
PrivateFrameworks/AMPLibrary : 5
PrivateFrameworks/AMPSharing : 4
PrivateFrameworks/AOSUI : 13
PrivateFrameworks/AddressBookCore : 21
PrivateFrameworks/AppleAppSupport : 7083
PrivateFrameworks/AppleMediaServices : 13
PrivateFrameworks/AuthenticationServices : 6
PrivateFrameworks/BridgeOSSoftwareUpdate : 1289
PrivateFrameworks/CDDataAccess : 5
PrivateFrameworks/CDDataAccessExpress : 5
PrivateFrameworks/ContactsPersistence : 7
PrivateFrameworks/CoreBrightness : 84
PrivateFrameworks/DFRBrightness : 84
PrivateFrameworks/Email : 6
PrivateFrameworks/EmailAddressing : 6
PrivateFrameworks/EmailCore : 6
PrivateFrameworks/EmailDaemon : 6
PrivateFrameworks/EmailFoundation : 6
PrivateFrameworks/EmbeddedOSInstall : 1182
PrivateFrameworks/FindMyDeviceUI : 15
PrivateFrameworks/FinderKit : 11
PrivateFrameworks/FinderSyncPriv : 10
PrivateFrameworks/GameCenterFoundation : 207
PrivateFrameworks/GameCenterUI : 207
PrivateFrameworks/GameCenterUICore : 207
PrivateFrameworks/HID : 9
PrivateFrameworks/HIDAnalytics : 10
PrivateFrameworks/HIDDisplay : 10
PrivateFrameworks/IMAP : 6
PrivateFrameworks/IOPlatformPluginFamily : 504
PrivateFrameworks/Mail : 6
PrivateFrameworks/MailCore : 6
PrivateFrameworks/MailService : 6
PrivateFrameworks/MailSupport : 6
PrivateFrameworks/MailUI : 6
PrivateFrameworks/MailWebProcessSupport : 6
PrivateFrameworks/MessageUIMacHelper : 11
PrivateFrameworks/MobileAccessoryUpdater : 96
PrivateFrameworks/OSPersonalization : 320
PrivateFrameworks/PassKit : 79
PrivateFrameworks/PassKitCore : 79
PrivateFrameworks/QuickLookIosmac : 7
PrivateFrameworks/QuickLookNonBaseSystem : 7
PrivateFrameworks/QuickLookUIIosmac : 7
PrivateFrameworks/ReminderKit : 5
PrivateFrameworks/ReminderKitUI : 5
PrivateFrameworks/Safari : 6
PrivateFrameworks/SafariCore : 6
PrivateFrameworks/SafariFoundation : 6
PrivateFrameworks/SafariPlatformSupport : 6
PrivateFrameworks/SafariSafeBrowsing : 5
PrivateFrameworks/SafariShared : 6
PrivateFrameworks/SetupAssistantFramework : 47
PrivateFrameworks/WebDriver : 6
PrivateFrameworks/WebInspector : 6
PrivateFrameworks/WebInspectorUI : 6
PrivateFrameworks/vCard : 7
CoreServices/CoreServicesUIAgent : 337
CoreServices/Finder : 1298.0.12
CoreServices/SystemUIServer : 495
Frameworks/AuthenticationServices : 6
Frameworks/GameKit : 208
Frameworks/MessageUI : 11
Frameworks/PassKit : 79
Frameworks/QuickLook : 113
Frameworks/SafariServices : 12
PrivateFrameworks/SafariShared : 6
PrivateFrameworks/WebKitLegacy : 12
PrivateFrameworks/WebUI : 12
