Applications/GitHub Desktop : 2.3.1
Applications/Safari : 15609.1.15.3.11
Utilities/Feedback Assistant : 420
Applications/App Store : 1004.6.17
Applications/Books : 1921
Applications/Calculator : 213.3
Applications/Calendar : 2760.4.1
Applications/Chess : 3.17
Applications/Contacts : 2421.11
Applications/Dictionary : 239.5
Applications/Home : 367.5.13
Applications/Mail : 3608.80.13.2.1
Applications/Maps : 2439.24.10.29.46
Applications/Music : 1.0.4
Applications/News : 2390
Applications/Notes : 1111.2
Applications/Photos : 141.18.133
Applications/Podcasts : 1430.40
Applications/Reminders : 2073
Applications/Stocks : 475
Applications/TV : 1.0.4
Utilities/Bluetooth File Exchange : 7.0.4d2
Utilities/Boot Camp Assistant : 6170.100.19
Utilities/VoiceOver Utility : 708.10
Frameworks/AGL : 3489
Frameworks/AVFoundation : 27
Frameworks/AVKit : 14
Frameworks/Accelerate : 368
Frameworks/Accounts : 58
Frameworks/AdSupport : 1612
Frameworks/AddressBook : 22
Frameworks/AppKit : 18
Frameworks/AppleScriptKit : 3193
Frameworks/AppleScriptObjC : 4552
Frameworks/ApplicationServices : 3058
Frameworks/AudioUnit : 1
Frameworks/AudioVideoBridging : 194
Frameworks/AutomaticAssessmentConfiguration : 11
Frameworks/Automator : 619
Frameworks/BackgroundTasks : 33
Frameworks/BusinessChat : 62
Frameworks/CFNetwork : 33
Frameworks/CalendarStore : 671
Frameworks/Carbon : 4163
Frameworks/CloudKit : 37
Frameworks/Cocoa : 11581
Frameworks/Collaboration : 3922
Frameworks/ColorSync : 151
Frameworks/Combine : 89
Frameworks/Contacts : 22
Frameworks/ContactsUI : 22
Frameworks/CoreAudioKit : 149
Frameworks/CoreBluetooth : 16
Frameworks/CoreData : 270
Frameworks/CoreFoundation : 76
Frameworks/CoreGraphics : 37
Frameworks/CoreHaptics : 69
Frameworks/CoreImage : 24
Frameworks/CoreLocation : 139
Frameworks/CoreMIDI : 414
Frameworks/CoreMIDIServer : 414
Frameworks/CoreML : 106
Frameworks/CoreMediaIO : 388
Frameworks/CoreMotion : 139
Frameworks/CoreServices : 85
Frameworks/CoreSpotlight : 52
Frameworks/CoreTelephony : 11
Frameworks/CoreText : 69
Frameworks/CoreVideo : 343
Frameworks/CoreWLAN : 266
Frameworks/CryptoKit : 330
Frameworks/CryptoTokenKit : 69
Frameworks/DVDPlayback : 279
Frameworks/DeviceCheck : 8007
Frameworks/DirectoryService : 500
Frameworks/DiscRecording : 277
Frameworks/DiscRecordingUI : 277
Frameworks/DiskArbitration : 597
Frameworks/DriverKit : 297
Frameworks/EventKit : 359
Frameworks/ExceptionHandling : 4765
Frameworks/ExecutionPolicy : 20
Frameworks/ExternalAccessory : 1083
Frameworks/FWAUserLib : 1004
Frameworks/FileProviderUI : 1486
Frameworks/ForceFeedback : 3619
Frameworks/Foundation : 77
Frameworks/GLKit : 518
Frameworks/GLUT : 313
Frameworks/GSS : 308
Frameworks/GameController : 36
Frameworks/GameKit : 1043
Frameworks/GameplayKit : 3518
Frameworks/HIDDriverKit : 1
Frameworks/Hypervisor : 324
Frameworks/ICADevices : 13
Frameworks/IMServicePlugIn : 18
Frameworks/IOBluetoothUI : 4
Frameworks/IOKit : 18
Frameworks/IOSurface : 152
Frameworks/IOUSBHost : 428
Frameworks/ImageCaptureCore : 13
Frameworks/InputMethodKit : 457
Frameworks/InstallerPlugins : 544
Frameworks/InstantMessage : 10791
Frameworks/Intents : 15
Frameworks/JavaFrameEmbedding : 1608
Frameworks/JavaVM : 1673
Frameworks/Kerberos : 991
Frameworks/LDAP : 273
Frameworks/LatentSemanticMapping : 2799
Frameworks/LinkPresentation : 254
Frameworks/LocalAuthentication : 66
Frameworks/MediaAccessibility : 101
Frameworks/MediaLibrary : 410
Frameworks/Message : 12433
Frameworks/Metal : 3
Frameworks/MetalKit : 354
Frameworks/MetalPerformanceShaders : 7
Frameworks/MetricKit : 1082
Frameworks/ModelIO : 171
Frameworks/MultipeerConnectivity : 1162
Frameworks/NaturalLanguage : 2942
Frameworks/NetFS : 526
Frameworks/NetworkExtension : 15
Frameworks/NetworkingDriverKit : 72
Frameworks/NotificationCenter : 167
Frameworks/OSAKit : 5171
Frameworks/OSLog : 105
Frameworks/OpenAL : 923
Frameworks/OpenCL : 1024
Frameworks/OpenDirectory : 500
Frameworks/OpenGL : 3126
Frameworks/PCIDriverKit : 143
Frameworks/PCSC : 19
Frameworks/PDFKit : 13
Frameworks/PencilKit : 22
Frameworks/PreferencePanes : 736
Frameworks/PushKit : 1807
Frameworks/Python : 61
Frameworks/QTKit : 1053
Frameworks/Quartz : 8350
Frameworks/QuickLookThumbnailing : 11
Frameworks/RealityKit : 8
Frameworks/Ruby : 1172
Frameworks/SceneKit : 38
Frameworks/ScreenSaver : 458
Frameworks/ScriptingBridge : 2330
Frameworks/Security : 94
Frameworks/SecurityFoundation : 1040
Frameworks/SecurityInterface : 148
Frameworks/ServiceManagement : 18
Frameworks/Social : 818
Frameworks/SoundAnalysis : 2355
Frameworks/Speech : 71
Frameworks/SpriteKit : 1610
Frameworks/StoreKit : 66
Frameworks/SwiftUI : 1
Frameworks/SyncServices : 8814
Frameworks/System : 122248
Frameworks/SystemConfiguration : 804
Frameworks/SystemExtensions : 143
Frameworks/TWAIN : 797
Frameworks/Tcl : 1492
Frameworks/Tk : 1492
Frameworks/USBDriverKit : 428
Frameworks/UserNotifications : 2333
Frameworks/VideoDecodeAcceleration : 4935
Frameworks/VideoSubscriberAccount : 13
Frameworks/Vision : 64
Frameworks/vecLib : 368
Frameworks/vmnet : 108
PrivateFrameworks/AACCore : 13
PrivateFrameworks/ACDEClient : 8152
PrivateFrameworks/AMPLibrary : 53
PrivateFrameworks/AOSAccounts : 552
PrivateFrameworks/AOSAccountsLite : 552
PrivateFrameworks/AOSKit : 401
PrivateFrameworks/AOSMigrate : 13358
PrivateFrameworks/AOSUI : 114
PrivateFrameworks/APFS : 29
PrivateFrameworks/APTransport : 66
PrivateFrameworks/AVConference : 1089
PrivateFrameworks/AVFoundationCF : 285
PrivateFrameworks/AXHearingCoreSupport : 3627
PrivateFrameworks/AXHearingSupport : 3627
PrivateFrameworks/AXMediaUtilities : 76
PrivateFrameworks/AccessibilityBundles : 111
PrivateFrameworks/AccessibilityPerformance : 27
PrivateFrameworks/AccessibilityPlatformTranslation : 32
PrivateFrameworks/AccessibilitySharedSupport : 32
PrivateFrameworks/AccessibilitySupport : 27
PrivateFrameworks/AccessoryNowPlaying : 12
PrivateFrameworks/AccountPolicy : 2896
PrivateFrameworks/AccountsDaemon : 58
PrivateFrameworks/AccountsUI : 1
PrivateFrameworks/ActionKit : 11
PrivateFrameworks/AdAnalytics : 17
PrivateFrameworks/AdCore : 96
PrivateFrameworks/AdID : 96
PrivateFrameworks/AdPlatforms : 96
PrivateFrameworks/AdPlatformsInternal : 96
PrivateFrameworks/AddressBookAutocomplete : 22
PrivateFrameworks/AddressBookCore : 22
PrivateFrameworks/Admin : 403
PrivateFrameworks/AggregateDictionary : 61
PrivateFrameworks/AggregateDictionaryHistory : 61
PrivateFrameworks/AirPlayReceiver : 117
PrivateFrameworks/AirPlaySender : 117
PrivateFrameworks/AirPlaySupport : 66
PrivateFrameworks/AirPlaySync : 1
PrivateFrameworks/AmbientDisplay : 158
PrivateFrameworks/AnnotationKit : 38
PrivateFrameworks/AppSSO : 9
PrivateFrameworks/AppSSOCore : 9
PrivateFrameworks/AppSSOKerberos : 9
PrivateFrameworks/AppSSOUI : 9
PrivateFrameworks/AppServerSupport : 18
PrivateFrameworks/AppStoreUI : 41
PrivateFrameworks/AppSupport : 4808
PrivateFrameworks/AppSupportUI : 5733
PrivateFrameworks/Apple80211 : 82
PrivateFrameworks/AppleAppSupport : 8350
PrivateFrameworks/AppleCVA : 11
PrivateFrameworks/AppleFSCompression : 1276
PrivateFrameworks/AppleIDAuthSupport : 1164
PrivateFrameworks/AppleIDSSOAuthentication : 24
PrivateFrameworks/AppleJPEG : 949
PrivateFrameworks/AppleLDAP : 6315
PrivateFrameworks/AppleMediaServices : 269
PrivateFrameworks/AppleMediaServicesUI : 45
PrivateFrameworks/ApplePushService : 57
PrivateFrameworks/AppleSRP : 9944
PrivateFrameworks/AppleSauce : 686
PrivateFrameworks/AppleScript : 25
PrivateFrameworks/AppleShareClientCore : 2552
PrivateFrameworks/AppleSystemInfo : 763
PrivateFrameworks/AppleVA : 2211
PrivateFrameworks/AppleVPA : 158
PrivateFrameworks/AskPermission : 87
PrivateFrameworks/AssertionServices : 259
PrivateFrameworks/AssetCacheServices : 754
PrivateFrameworks/AssetCacheServicesExtensions : 754
PrivateFrameworks/AssistantServices : 19
PrivateFrameworks/AssistiveControlSupport : 446
PrivateFrameworks/AttributeGraph : 54
PrivateFrameworks/AudioDSPManager : 821
PrivateFrameworks/AudioHistory : 821
PrivateFrameworks/AudioPasscode : 2673
PrivateFrameworks/AudioResourceArbitration : 823
PrivateFrameworks/AudioServerApplication : 285
PrivateFrameworks/AudioServerDriver : 285
PrivateFrameworks/AudioSession : 857
PrivateFrameworks/AudioTransportCommon : 2498
PrivateFrameworks/AutoLoop : 3433
PrivateFrameworks/BackBoardServices : 5
PrivateFrameworks/BackgroundTaskManagement : 51
PrivateFrameworks/BaseBoard : 275
PrivateFrameworks/BatteryUIKit : 4369
PrivateFrameworks/BehaviorMiner : 845
PrivateFrameworks/BezelServices : 882
PrivateFrameworks/BioKitAggD : 8999
PrivateFrameworks/BiometricKit : 252
PrivateFrameworks/BiometricKitUI : 87
PrivateFrameworks/BiometricSupport : 272
PrivateFrameworks/BluetoothManager : 16
PrivateFrameworks/BoardServices : 275
PrivateFrameworks/Bom : 816
PrivateFrameworks/BookCoverUtility : 38
PrivateFrameworks/BookKit : 38
PrivateFrameworks/BookKitFoundation : 38
PrivateFrameworks/BookUtility : 38
PrivateFrameworks/BridgeOSInstall : 903
PrivateFrameworks/BridgeOSInstallReporting : 903
PrivateFrameworks/BridgeOSObliteration : 2260
PrivateFrameworks/BridgeOSSoftwareUpdate : 206
PrivateFrameworks/BridgeXPC : 2325
PrivateFrameworks/BulkSymbolication : 927
PrivateFrameworks/ByteRangeLocking : 2511
PrivateFrameworks/C2 : 72
PrivateFrameworks/CDDataAccess : 27
PrivateFrameworks/CDDataAccessExpress : 27
PrivateFrameworks/CPMLBestShim : 7001
PrivateFrameworks/CSCSupport : 51
PrivateFrameworks/CacheDelete : 64
PrivateFrameworks/CalDAV : 260
PrivateFrameworks/Calculate : 884
PrivateFrameworks/CalendarAgent : 229
PrivateFrameworks/CalendarAgentLink : 646
PrivateFrameworks/CalendarDraw : 696
PrivateFrameworks/CalendarFoundation : 142
PrivateFrameworks/CalendarNotification : 513
PrivateFrameworks/CalendarPersistence : 724
PrivateFrameworks/CalendarUI : 99
PrivateFrameworks/CalendarUIKit : 397
PrivateFrameworks/CallHistory : 18
PrivateFrameworks/CameraImagingFramework : 4767
PrivateFrameworks/CaptiveNetwork : 227
PrivateFrameworks/CardKit : 111
PrivateFrameworks/CardServices : 111
PrivateFrameworks/Cards : 111
PrivateFrameworks/Catalyst : 810
PrivateFrameworks/Categories : 120
PrivateFrameworks/CharacterPicker : 555
PrivateFrameworks/ChunkingLibrary : 123
PrivateFrameworks/ClassKit : 10
PrivateFrameworks/ClassroomKit : 493
PrivateFrameworks/ClockMenuExtraPreferences : 1104
PrivateFrameworks/CloudDocsDaemon : 8
PrivateFrameworks/CloudFamilyRestrictions : 1359
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 1359
PrivateFrameworks/CloudKitCode : 54
PrivateFrameworks/CloudKitCodeProtobuf : 54
PrivateFrameworks/CloudKitDaemon : 33
PrivateFrameworks/CloudServices : 12
PrivateFrameworks/Coherence : 7514
PrivateFrameworks/CombineCocoa : 89
PrivateFrameworks/CommerceKit : 41
PrivateFrameworks/CommonAuth : 308
PrivateFrameworks/CommonCandidateWindow : 10900
PrivateFrameworks/CommonUtilities : 6189
PrivateFrameworks/CommunicationsFilter : 907
PrivateFrameworks/ConditionInducer : 4208
PrivateFrameworks/ConfigProfileHelper : 54
PrivateFrameworks/ConfigurationEngineModel : 286
PrivateFrameworks/ConfigurationProfiles : 54
PrivateFrameworks/ConfigurationProfilesUI : 50
PrivateFrameworks/ConsoleKit : 503
PrivateFrameworks/ConstantClasses : 2377
PrivateFrameworks/ContactsAgent : 1370
PrivateFrameworks/ContactsAssistantServices : 1719
PrivateFrameworks/ContactsAutocomplete : 389
PrivateFrameworks/ContactsAutocompleteUI : 209
PrivateFrameworks/ContactsDonation : 2337
PrivateFrameworks/ContactsDonationFeedback : 2337
PrivateFrameworks/ContactsFoundation : 55
PrivateFrameworks/ContactsPersistence : 22
PrivateFrameworks/ContactsUICore : 64
PrivateFrameworks/ContentKit : 11
PrivateFrameworks/ContextKit : 1313
PrivateFrameworks/ConversationKit : 17
PrivateFrameworks/CoreADI : 2657
PrivateFrameworks/CoreAUC : 649
PrivateFrameworks/CoreAVCHD : 2777
PrivateFrameworks/CoreAccessories : 12
PrivateFrameworks/CoreAnalytics : 214
PrivateFrameworks/CoreAppleCVA : 512
PrivateFrameworks/CoreBrightness : 146
PrivateFrameworks/CoreCDP : 23
PrivateFrameworks/CoreCDPInternal : 23
PrivateFrameworks/CoreCDPUI : 23
PrivateFrameworks/CoreCapture : 313
