Applications/AltTab : 2.3.4
Applications/Discord : 0.0.256
Applications/Dozer : 8
Applications/Google Chrome : 3987.122
Applications/Gray : 1
Applications/HandBrake : 2020010400
Applications/Image2Icon : 844
Applications/Keka : 3432
Applications/Logi Options : 8.10.64
Applications/MacUpdater : 7677
Applications/SF Symbols : 16
Applications/Safari : 15609.1.20.111.3
Applications/Spotify : 1.1.26.501.gbe11e53b-22
Utilities/LogiMgr Uninstaller : 8.10.64
Applications/App Store : 1004.6.21
Applications/Books : 1923
Applications/Contacts : 2421.18
Applications/Home : 367.5.20
Applications/Mail : 3608.80.23
Applications/Maps : 2439.24.10.29.57
Applications/News : 2393.4
Applications/Notes : 1111.3
Applications/Photos : 141.19.110
Applications/Podcasts : 1430.46
Applications/Reminders : 2079
Applications/Stocks : 476.1
Utilities/Activity Monitor : 1076.1
Utilities/Bluetooth File Exchange : 7.0.4f3
Utilities/Boot Camp Assistant : 6170.100.22
Utilities/VoiceOver Utility : 708.11
Frameworks/AGL : 3580
Frameworks/AVFoundation : 13
Frameworks/AVKit : 119
Frameworks/Accelerate : 665
Frameworks/Accounts : 20
Frameworks/AdSupport : 1839
Frameworks/AppKit : 22
Frameworks/AppleScriptKit : 3300
Frameworks/AppleScriptObjC : 4757
Frameworks/ApplicationServices : 3482
Frameworks/AudioToolbox : 17
Frameworks/AudioVideoBridging : 435
Frameworks/AuthenticationServices : 4
Frameworks/AutomaticAssessmentConfiguration : 84
Frameworks/Automator : 729
Frameworks/BackgroundTasks : 60
Frameworks/BusinessChat : 290
Frameworks/CFNetwork : 73
Frameworks/CalendarStore : 901
Frameworks/CallKit : 25
Frameworks/Carbon : 4327
Frameworks/CloudKit : 124
Frameworks/Cocoa : 12078
Frameworks/Collaboration : 4017
Frameworks/ColorSync : 38
Frameworks/Combine : 514
Frameworks/CoreAudio : 92
Frameworks/CoreAudioKit : 258
Frameworks/CoreAudioTypes : 16
Frameworks/CoreBluetooth : 52
Frameworks/CoreData : 62
Frameworks/CoreDisplay : 10
Frameworks/CoreGraphics : 124
Frameworks/CoreHaptics : 185
Frameworks/CoreImage : 153
Frameworks/CoreLocation : 42
Frameworks/CoreMIDI : 665
Frameworks/CoreMIDIServer : 665
Frameworks/CoreML : 331
Frameworks/CoreMedia : 10
Frameworks/CoreMediaIO : 514
Frameworks/CoreMotion : 42
Frameworks/CoreServices : 52
Frameworks/CoreSpotlight : 10
Frameworks/CoreTelephony : 124
Frameworks/CoreText : 68
Frameworks/CoreVideo : 568
Frameworks/CoreWLAN : 38
Frameworks/CryptoKit : 776
Frameworks/CryptoTokenKit : 366
Frameworks/DVDPlayback : 483
Frameworks/DeviceCheck : 8670
Frameworks/DirectoryService : 581
Frameworks/DiscRecording : 377
Frameworks/DiscRecordingUI : 377
Frameworks/DiskArbitration : 670
Frameworks/DriverKit : 236
Frameworks/EventKit : 13
Frameworks/ExceptionHandling : 4965
Frameworks/ExecutionPolicy : 4
Frameworks/ExternalAccessory : 1267
Frameworks/FWAUserLib : 75
Frameworks/FileProvider : 27
Frameworks/FileProviderUI : 124
