Applications/Google Chrome : 3987.132
Applications/RunCat : 7.1.1
Applications/Safari : 15609.1.20.111.6
Applications/Spotify : 1.1.27.472.gf6574b97-13
Applications/The Unarchiver : 126
Applications/Contacts : 2421.19
Applications/Mail : 3608.80.23.2.1
Applications/News : 2393.4.1
Applications/Photos : 141.19.150
Applications/Stocks : 476.1.1
Utilities/Bluetooth File Exchange : 7.0.4f5
Utilities/Boot Camp Assistant : 6170.100.24
Frameworks/AddressBook : 5
Frameworks/AppKit : 60
Frameworks/ApplicationServices : 3562
Frameworks/AutomaticAssessmentConfiguration : 293
Frameworks/Carbon : 4371
Frameworks/Cocoa : 12194
Frameworks/Combine : 707
Frameworks/ContactsUI : 5
Frameworks/CoreMediaIO : 539
Frameworks/CoreServices : 7
Frameworks/CryptoKit : 966
Frameworks/FinderSync : 9
Frameworks/GameKit : 2416
Frameworks/Hypervisor : 474
Frameworks/IOBluetoothUI : 9
Frameworks/MultipeerConnectivity : 1997
Frameworks/NetworkingDriverKit : 217
Frameworks/PCIDriverKit : 260
Frameworks/QuickLookThumbnailing : 34
Frameworks/RealityKit : 112
Frameworks/SceneKit : 6
Frameworks/SecurityFoundation : 1337
Frameworks/SecurityInterface : 298
Frameworks/SwiftUI : 32
Frameworks/System : 264
Frameworks/WebKit : 6
Frameworks/iTunesLibrary : 17
PrivateFrameworks/AMPDevices : 17
PrivateFrameworks/AMPLibrary : 19
PrivateFrameworks/APFS : 38
PrivateFrameworks/AVConference : 25
PrivateFrameworks/AVFoundationCF : 404
PrivateFrameworks/AXCoreUtilities : 173
PrivateFrameworks/AXHearingCoreSupport : 4033
PrivateFrameworks/AXHearingSupport : 4033
PrivateFrameworks/AXRuntime : 173
PrivateFrameworks/AddressBookAutocomplete : 5
PrivateFrameworks/AddressBookCore : 5
PrivateFrameworks/AirPlayReceiver : 181
PrivateFrameworks/AirPlaySender : 181
PrivateFrameworks/AirPlaySync : 4
PrivateFrameworks/AppStoreKit : 458
PrivateFrameworks/AppleGVA : 8
PrivateFrameworks/AppleGVACore : 8
PrivateFrameworks/AppleVPA : 279
PrivateFrameworks/AttributeGraph : 346
PrivateFrameworks/AudioServerApplication : 444
PrivateFrameworks/AudioServerDriver : 444
PrivateFrameworks/Backup : 9
PrivateFrameworks/BridgeOSSoftwareUpdate : 463
PrivateFrameworks/CloudKitCode : 408
PrivateFrameworks/CloudKitCodeProtobuf : 408
PrivateFrameworks/Coherence : 8687
PrivateFrameworks/CombineCocoa : 707
PrivateFrameworks/ConversationKit : 143
PrivateFrameworks/CoreAnalytics : 219
PrivateFrameworks/CoreBrightness : 529
PrivateFrameworks/CoreCDP : 3
PrivateFrameworks/CoreCDPInternal : 3
PrivateFrameworks/CoreCDPUI : 3
PrivateFrameworks/CoreCapture : 457
PrivateFrameworks/CoreCaptureControl : 457
PrivateFrameworks/CoreCaptureDaemon : 457
PrivateFrameworks/CoreHAP : 7
PrivateFrameworks/CoreKnowledge : 983
PrivateFrameworks/CoreLSKD : 5
PrivateFrameworks/CoreUtilsSwift : 4234
PrivateFrameworks/CreateML : 365
PrivateFrameworks/CryptoKitCBridging : 966
PrivateFrameworks/CryptoKitPrivate : 966
PrivateFrameworks/DFRBrightness : 529
PrivateFrameworks/DFRFoundation : 19
PrivateFrameworks/DesktopServicesPriv : 6
PrivateFrameworks/DialogEngine : 39
PrivateFrameworks/DiskImages : 1270
PrivateFrameworks/DistributedEvaluation : 718
PrivateFrameworks/DynamicDesktop : 144
PrivateFrameworks/EAFirmwareUpdater : 7
PrivateFrameworks/Email : 24
PrivateFrameworks/EmailAddressing : 24
PrivateFrameworks/EmailCore : 24
PrivateFrameworks/EmailDaemon : 24
PrivateFrameworks/EmailFoundation : 24
PrivateFrameworks/EmbeddedOSInstall : 2741
PrivateFrameworks/ExchangeWebServices : 32
PrivateFrameworks/FMClient : 3864
PrivateFrameworks/FMFCore : 191
PrivateFrameworks/FMIPCore : 191
PrivateFrameworks/FMNetworking : 399
PrivateFrameworks/FWAVC : 539
PrivateFrameworks/FindMyDevice : 8
PrivateFrameworks/FinderKit : 9
PrivateFrameworks/FinderSyncPriv : 9
PrivateFrameworks/FlowFrameKit : 200
PrivateFrameworks/GameCenterFoundation : 2416
PrivateFrameworks/GameCenterUI : 2416
PrivateFrameworks/GameCenterUICore : 2416
PrivateFrameworks/GameKitServices : 25
PrivateFrameworks/GeoServices : 21
PrivateFrameworks/HID : 31
PrivateFrameworks/HearingCore : 88
PrivateFrameworks/HearingUtilities : 88
PrivateFrameworks/HomeKit : 7
PrivateFrameworks/HomeKitBackingStore : 7
PrivateFrameworks/HomeKitDaemon : 7
PrivateFrameworks/IDSHashPersistence : 172
PrivateFrameworks/IDSKVStore : 172
PrivateFrameworks/IMAP : 23
PrivateFrameworks/IMAVCore : 10052
PrivateFrameworks/IOImageLoader : 795
PrivateFrameworks/IOPlatformPluginFamily : 52
PrivateFrameworks/JetEngine : 800
PrivateFrameworks/JetUI : 795
PrivateFrameworks/Mail : 23
PrivateFrameworks/MailCore : 23
PrivateFrameworks/MailService : 23
PrivateFrameworks/MailSupport : 24
PrivateFrameworks/MailUI : 23
PrivateFrameworks/MailWebProcessSupport : 24
PrivateFrameworks/MessageUIMacHelper : 49
PrivateFrameworks/MobileAccessoryUpdater : 7
PrivateFrameworks/MobileAssetUpdater : 7
PrivateFrameworks/MultiverseSupport : 1258
PrivateFrameworks/NearField : 34
PrivateFrameworks/OSInstaller : 307
PrivateFrameworks/OSPersonalization : 1651
PrivateFrameworks/PassKit : 179
PrivateFrameworks/PassKitCore : 180
PrivateFrameworks/PodcastsFoundation : 494
PrivateFrameworks/QuickLookSupport : 34
PrivateFrameworks/QuickLookThumbnailing : 34
PrivateFrameworks/RTTUI : 88
PrivateFrameworks/RTTUtilities : 88
PrivateFrameworks/SPShared : 399
PrivateFrameworks/SafariSharedUI : 6
PrivateFrameworks/ScreenSharing : 37
PrivateFrameworks/SecurityTokend : 4023
PrivateFrameworks/SetupAssistantFramework : 16
PrivateFrameworks/SharingXPCServices : 402
PrivateFrameworks/SiriAppResolution : 200
