Applications/AltTab : 3.1.3
Applications/Keka : 3449
Applications/MacUpdater : 7955
Applications/RunCat : 7.2.11
Applications/Safari : 15609.1.20.111.8
Applications/Spotify : 1.1.28.721.g5b5ee660-44
Applications/iTerm : 3.3.9
Applications/Contacts : 2421.22
Applications/Mail : 3608.80.23.2.2
Utilities/Bluetooth File Exchange : 7.0.4f6
Frameworks/AVFoundation : 53
Frameworks/AddressBook : 4
Frameworks/AppKit : 85
Frameworks/ApplicationServices : 3652
Frameworks/AutomaticAssessmentConfiguration : 366
Frameworks/Carbon : 4401
Frameworks/Cocoa : 12294
Frameworks/Combine : 760
Frameworks/CoreMedia : 3
Frameworks/CoreMediaIO : 557
Frameworks/CryptoKit : 1022
Frameworks/ExecutionPolicy : 3
Frameworks/GameKit : 2571
Frameworks/Hypervisor : 491
Frameworks/IOBluetooth : 5
Frameworks/IOUSBHost : 12
Frameworks/ImageIO : 10
Frameworks/MediaToolbox : 3
Frameworks/MetalPerformanceShaders : 4
Frameworks/NetworkingDriverKit : 305
Frameworks/PCIDriverKit : 339
Frameworks/RealityKit : 123
Frameworks/SwiftUI : 51
Frameworks/System : 405
Frameworks/USBDriverKit : 12
Frameworks/VideoToolbox : 3
PrivateFrameworks/AVFoundationCF : 409
PrivateFrameworks/AddressBookCore : 4
PrivateFrameworks/AirPlayReceiver : 199
PrivateFrameworks/AirPlaySender : 199
PrivateFrameworks/AirPlaySync : 3
PrivateFrameworks/AirTrafficHost : 783
PrivateFrameworks/AppContainer : 4
PrivateFrameworks/AppSandbox : 4
PrivateFrameworks/AppStoreKit : 513
PrivateFrameworks/AttributeGraph : 409
PrivateFrameworks/AudioServerApplication : 18
PrivateFrameworks/AudioServerDriver : 18
PrivateFrameworks/BluetoothAudio : 5
PrivateFrameworks/BridgeOSSoftwareUpdate : 530
PrivateFrameworks/CloudKitCode : 463
PrivateFrameworks/CloudKitCodeProtobuf : 463
PrivateFrameworks/Coherence : 8753
PrivateFrameworks/CombineCocoa : 760
PrivateFrameworks/ConversationKit : 6
PrivateFrameworks/CoreAnalytics : 281
PrivateFrameworks/CoreBrightness : 631
PrivateFrameworks/CoreCapture : 472
PrivateFrameworks/CoreCaptureControl : 472
PrivateFrameworks/CoreCaptureDaemon : 472
PrivateFrameworks/CoreKnowledge : 1038
PrivateFrameworks/CoreUtilsSwift : 4293
PrivateFrameworks/CreateML : 376
PrivateFrameworks/CryptoKitCBridging : 1022
PrivateFrameworks/CryptoKitPrivate : 1022
PrivateFrameworks/DFRBrightness : 631
PrivateFrameworks/DeviceLink : 783
PrivateFrameworks/DistributedEvaluation : 761
PrivateFrameworks/DynamicDesktop : 155
PrivateFrameworks/EAFirmwareUpdater : 16
PrivateFrameworks/EmbeddedOSInstall : 2889
PrivateFrameworks/FMClient : 3922
PrivateFrameworks/FMFCore : 215
PrivateFrameworks/FMIPCore : 215
PrivateFrameworks/FMNetworking : 431
PrivateFrameworks/FWAVC : 557
PrivateFrameworks/FindMyDevice : 4
PrivateFrameworks/FlowFrameKit : 257
PrivateFrameworks/GameCenterFoundation : 2571
PrivateFrameworks/GameCenterUI : 2571
PrivateFrameworks/GameCenterUICore : 2571
PrivateFrameworks/HID : 59
PrivateFrameworks/IOImageLoader : 810
