Applications/AltTab : 3.2.1
Applications/GitHub Desktop : 2.4.0
Applications/League of Legends : 1
Applications/Suspicious Package : 577
Applications/Todeska : 1.4
Applications/Xcode : 16134
Frameworks/AVFoundation : 56
Frameworks/AppKit : 109
Frameworks/ApplicationServices : 3773
Frameworks/AudioToolbox : 58
Frameworks/AudioUnit : 19
Frameworks/AutomaticAssessmentConfiguration : 342
Frameworks/Carbon : 4417
Frameworks/Cocoa : 12453
Frameworks/Combine : 750
Frameworks/CoreAudioKit : 288
Frameworks/CoreAudioTypes : 55
Frameworks/CoreBluetooth : 69
Frameworks/CoreTelephony : 381
Frameworks/CoreText : 7
Frameworks/CryptoKit : 1011
Frameworks/GameKit : 2794
Frameworks/Intents : 4
Frameworks/MapKit : 114
Frameworks/MediaPlayer : 38
Frameworks/PDFKit : 18
Frameworks/PencilKit : 248
Frameworks/Quartz : 8967
Frameworks/RealityKit : 120
Frameworks/SwiftUI : 44
Frameworks/System : 642
PrivateFrameworks/AXCoreUtilities : 192
PrivateFrameworks/AXRuntime : 192
PrivateFrameworks/AirPlayReceiver : 214
PrivateFrameworks/AirPlaySender : 214
PrivateFrameworks/AirTrafficHost : 8
PrivateFrameworks/AppStoreKit : 492
PrivateFrameworks/AppleAppSupport : 8967
PrivateFrameworks/AssetCacheServices : 85
PrivateFrameworks/AssetCacheServicesExtensions : 85
PrivateFrameworks/AttributeGraph : 384
PrivateFrameworks/AudioDSPManager : 948
PrivateFrameworks/AudioHistory : 948
PrivateFrameworks/AudioToolboxCore : 55
PrivateFrameworks/BluetoothManager : 69
PrivateFrameworks/BridgeOSSoftwareUpdate : 585
PrivateFrameworks/CloudKitCode : 453
PrivateFrameworks/CloudKitCodeProtobuf : 453
PrivateFrameworks/Coherence : 8729
PrivateFrameworks/CombineCocoa : 750
PrivateFrameworks/ConversationKit : 5
PrivateFrameworks/CoreBrightness : 658
PrivateFrameworks/CoreKnowledge : 1028
PrivateFrameworks/CoreMaterial : 1224
PrivateFrameworks/CoreRE : 53
PrivateFrameworks/CoreUtils : 105
PrivateFrameworks/CoreUtilsSwift : 4280
PrivateFrameworks/CoreUtilsUI : 98
PrivateFrameworks/CreateML : 373
PrivateFrameworks/CryptoKitCBridging : 1011
PrivateFrameworks/CryptoKitPrivate : 1011
PrivateFrameworks/DFRBrightness : 658
PrivateFrameworks/DeviceLink : 8
PrivateFrameworks/DistributedEvaluation : 751
PrivateFrameworks/DynamicDesktop : 152
PrivateFrameworks/EAFirmwareUpdater : 32
PrivateFrameworks/EasyConfig : 105
PrivateFrameworks/EmbeddedOSInstall : 3058
PrivateFrameworks/FMClient : 3901
PrivateFrameworks/FMFCore : 207
PrivateFrameworks/FMIPCore : 207
PrivateFrameworks/FMNetworking : 421
PrivateFrameworks/FlowFrameKit : 247
PrivateFrameworks/GameCenterFoundation : 2794
PrivateFrameworks/GameCenterUI : 2794
PrivateFrameworks/GameCenterUICore : 2794
PrivateFrameworks/IOPlatformPluginFamily : 7
PrivateFrameworks/Intents : 4
PrivateFrameworks/IntentsCore : 4
PrivateFrameworks/IntentsFoundation : 4
PrivateFrameworks/IntentsServices : 4
PrivateFrameworks/JetUI : 839
PrivateFrameworks/MobileAccessoryUpdater : 32
PrivateFrameworks/MobileAssetUpdater : 32
PrivateFrameworks/MobileBluetooth : 69
PrivateFrameworks/MobileDevice : 8
PrivateFrameworks/OSInstaller : 330
PrivateFrameworks/OSPersonalization : 1764
PrivateFrameworks/OTSVG : 7
PrivateFrameworks/PDFKit : 18
PrivateFrameworks/PassKit : 200
PrivateFrameworks/PassKitCore : 199
PrivateFrameworks/PencilKit : 248
PrivateFrameworks/PodcastsFoundation : 574
PrivateFrameworks/PowerLog : 68
PrivateFrameworks/PowerlogControl : 69
PrivateFrameworks/PowerlogCore : 69
PrivateFrameworks/PowerlogDatabaseReader : 69
PrivateFrameworks/PowerlogLiteOperators : 108
PrivateFrameworks/ReplayKitMacHelper : 240
PrivateFrameworks/SPShared : 421
PrivateFrameworks/SetupAssistantFramework : 38
PrivateFrameworks/SharedWebCredentials : 452
PrivateFrameworks/SiriAppResolution : 247
PrivateFrameworks/SiriAudioInternal : 1364
PrivateFrameworks/SiriAudioSupport : 1364
PrivateFrameworks/SiriKitFlow : 247
PrivateFrameworks/SiriOntology : 524
PrivateFrameworks/SiriOntologyProtobuf : 524
PrivateFrameworks/SystemMigration : 52
PrivateFrameworks/SystemMigrationNetworking : 52
PrivateFrameworks/SystemMigrationUtils : 52
PrivateFrameworks/TVRemoteCore : 216
PrivateFrameworks/WirelessCoexManager : 203
PrivateFrameworks/XCTAutomationSupport : 692
PrivateFrameworks/XCTTargetBootstrap : 692
Frameworks/GameKit : 883
Frameworks/IntentsUI : 1
Frameworks/MediaPlayer : 34
Frameworks/PDFKit : 19
Frameworks/PassKit : 117
Frameworks/QuickLook : 48
Frameworks/RealityKit : 88
Frameworks/ReplayKit : 240
Frameworks/SwiftUI : 45
PrivateFrameworks/Accessibility : 58
PrivateFrameworks/AccessibilityUtilities : 58
PrivateFrameworks/AppAnalytics : 271
PrivateFrameworks/DocumentManager : 126
PrivateFrameworks/DocumentManagerCore : 126
PrivateFrameworks/FMNetworking : 117
PrivateFrameworks/MediaPlaybackCore : 34
PrivateFrameworks/NewsAnalytics : 76
PrivateFrameworks/NewsArticles : 76
PrivateFrameworks/NewsFeed : 76
PrivateFrameworks/NewsSubscription : 76
PrivateFrameworks/NewsUI2 : 76
PrivateFrameworks/PodcastsUI : 578
PrivateFrameworks/SPShared : 117
PrivateFrameworks/TeaActivities : 244
PrivateFrameworks/TeaCharts : 244
PrivateFrameworks/TeaDB : 244
PrivateFrameworks/TeaFoundation : 244
PrivateFrameworks/TeaSettings : 244
PrivateFrameworks/TeaTemplate : 244
PrivateFrameworks/TeaUI : 244
PrivateFrameworks/TeaUIKit : 244
PrivateFrameworks/UIAccessibility : 58
PrivateFrameworks/VisualAlert : 58
