Applications/Discord : 0.0.257
Applications/Dozer : 29
Applications/Gifski : 36
Applications/GitHub Desktop : 2.4.3
Applications/Google Chrome : 4044.122
Applications/IINA : 113
Applications/Keynote : 6748
Applications/MacForge : 2846
Applications/Numbers : 6748
Applications/Pages : 6748
Applications/RunCat : 7.7.0
Applications/Safari : 15609.1.20.111.8
Applications/Spotify : 1.1.31.703.g256add22-42
Applications/ThemeKit : 1
Applications/Xcode : 16137
Applications/Mission Control : 45
Applications/Time Machine : 45
Frameworks/AGL : 3605
Frameworks/Accelerate : 770
Frameworks/ApplicationServices : 3773
Frameworks/AudioUnit : 19
Frameworks/Carbon : 4417
Frameworks/Cocoa : 12453
Frameworks/ColorSync : 100
Frameworks/CoreAudioTypes : 55
Frameworks/CoreMIDIServer : 741
Frameworks/CoreServices : 14
Frameworks/DVDPlayback : 554
Frameworks/DirectoryService : 602
Frameworks/DiskArbitration : 689
Frameworks/DriverKit : 329
Frameworks/FWAUserLib : 147
Frameworks/ForceFeedback : 3920
Frameworks/GSS : 632
Frameworks/GameKit : 3499
Frameworks/HIDDriverKit : 29
Frameworks/Hypervisor : 498
Frameworks/Kerberos : 1087
Frameworks/Kernel : 15
Frameworks/LDAP : 365
Frameworks/LatentSemanticMapping : 3129
Frameworks/MediaAccessibility : 335
Frameworks/Message : 12725
Frameworks/MultipeerConnectivity : 2307
Frameworks/NetworkingDriverKit : 318
Frameworks/OpenAL : 1015
Frameworks/OpenGL : 3454
Frameworks/PCIDriverKit : 352
Frameworks/PCSC : 111
Frameworks/Python : 165
Frameworks/Quartz : 8967
Frameworks/Ruby : 1481
Frameworks/System : 642
Frameworks/SystemConfiguration : 26
Frameworks/Tcl : 1843
Frameworks/USBDriverKit : 16
Frameworks/VideoDecodeAcceleration : 5226
Frameworks/WebKit : 2
Frameworks/vecLib : 770
Frameworks/vmnet : 200
PrivateFrameworks/AOSMigrate : 13648
PrivateFrameworks/APFS : 47
PrivateFrameworks/APTransport : 349
PrivateFrameworks/AXHearingCoreSupport : 4347
PrivateFrameworks/AXHearingSupport : 4347
PrivateFrameworks/AccessibilitySupport : 126
PrivateFrameworks/AirPlayReceiver : 431
PrivateFrameworks/AirPlaySender : 431
PrivateFrameworks/AirPlaySupport : 349
PrivateFrameworks/AirTrafficHost : 993
PrivateFrameworks/AppleAppSupport : 8967
PrivateFrameworks/AppleFSCompression : 3333
PrivateFrameworks/AppleJPEG : 1044
PrivateFrameworks/AppleSRP : 10802
PrivateFrameworks/AppleSauce : 1666
PrivateFrameworks/AppleShareClientCore : 2848
PrivateFrameworks/AppleSystemInfo : 1064
PrivateFrameworks/AppleVA : 2514
PrivateFrameworks/AppleVPA : 284
PrivateFrameworks/Bom : 1115
PrivateFrameworks/BridgeOSObliteration : 2846
PrivateFrameworks/BridgeOSSoftwareUpdate : 630
PrivateFrameworks/ByteRangeLocking : 2818
PrivateFrameworks/ChunkingLibrary : 274
PrivateFrameworks/CombineCocoa : 750
PrivateFrameworks/CommonAuth : 632
PrivateFrameworks/ConversationKit : 39
PrivateFrameworks/CoreAVCHD : 3082
PrivateFrameworks/CoreCapture : 477
PrivateFrameworks/CoreCaptureControl : 477
PrivateFrameworks/CoreDaemon : 2112
PrivateFrameworks/CoreHAP : 34
PrivateFrameworks/CoreKE : 16
PrivateFrameworks/CoreLSKD : 10
PrivateFrameworks/CoreLSKDMSE : 189
PrivateFrameworks/CoreOptimization : 7290
PrivateFrameworks/CoreSVG : 3730
PrivateFrameworks/CoreServicesInternal : 193
PrivateFrameworks/CoreSymbolication : 985
PrivateFrameworks/DCERPC : 2608
PrivateFrameworks/DFRDisplay : 2651
PrivateFrameworks/DSExternalDisplay : 516
PrivateFrameworks/DVD : 14530
PrivateFrameworks/DeviceLink : 8
PrivateFrameworks/DeviceToDeviceManager : 9723
PrivateFrameworks/EAFirmwareUpdater : 39
PrivateFrameworks/EmbeddedOSInstall : 3210
PrivateFrameworks/EmbeddedOSSupportHost : 326
PrivateFrameworks/EmbeddedSensingProtocols : 7819
PrivateFrameworks/ExchangeWebServices : 1
PrivateFrameworks/ExpansionSlotSupport : 148
PrivateFrameworks/FTClientServices : 324
PrivateFrameworks/FTServices : 324
PrivateFrameworks/FWAVC : 564
PrivateFrameworks/GPUInfo : 83
PrivateFrameworks/GPUSupport : 3454
PrivateFrameworks/GPUWrangler : 27
PrivateFrameworks/GameCenterFoundation : 3499
PrivateFrameworks/GameCenterUI : 3499
PrivateFrameworks/GameCenterUICore : 3499
PrivateFrameworks/HearingCore : 160
PrivateFrameworks/HearingUtilities : 160
PrivateFrameworks/HeimODAdmin : 184
PrivateFrameworks/HomeKit : 34
PrivateFrameworks/HomeKitBackingStore : 34
PrivateFrameworks/HomeKitDaemon : 34
PrivateFrameworks/IDS : 324
PrivateFrameworks/IDSFoundation : 324
PrivateFrameworks/IDSHashPersistence : 519
PrivateFrameworks/IDSKVStore : 519
PrivateFrameworks/IDSSystemPreferencesSignIn : 324
PrivateFrameworks/IMAVCore : 10199
PrivateFrameworks/IOImageLoader : 815
PrivateFrameworks/IOPlatformPluginFamily : 7
PrivateFrameworks/IOPresentment : 22
PrivateFrameworks/KerberosHelper : 3047
PrivateFrameworks/Lexicon : 5445
PrivateFrameworks/MDSChannel : 2820
PrivateFrameworks/MallocStackLogging : 1264
PrivateFrameworks/Mangrove : 1107
PrivateFrameworks/MediaControlSender : 349
PrivateFrameworks/MediaKit : 5127
PrivateFrameworks/MobileAccessoryUpdater : 39
PrivateFrameworks/MobileAssetUpdater : 39
PrivateFrameworks/MobileBluetooth : 69
PrivateFrameworks/MultitouchSupport : 858
PrivateFrameworks/NetAuth : 297
PrivateFrameworks/Netrb : 522
PrivateFrameworks/OSInstaller : 365
PrivateFrameworks/OSPersonalization : 1808
PrivateFrameworks/PSNormalizer : 1045
PrivateFrameworks/PacketFilter : 1099
PrivateFrameworks/RTTUI : 160
PrivateFrameworks/RTTUtilities : 160
PrivateFrameworks/SDAPI : 5849
PrivateFrameworks/SMBClient : 29
PrivateFrameworks/ScreenSharing : 58
PrivateFrameworks/SecurityTokend : 4048
PrivateFrameworks/SetupAssistantFramework : 11
PrivateFrameworks/SharingXPCServices : 404
PrivateFrameworks/SpeechDictionary : 2640
PrivateFrameworks/SpeechRecognitionCore : 1451
PrivateFrameworks/StatsKit : 8631
PrivateFrameworks/StoreServices : 1042
PrivateFrameworks/SymptomReporter : 320
PrivateFrameworks/Symptoms : 320
PrivateFrameworks/SystemMigration : 83
PrivateFrameworks/SystemMigrationNetworking : 83
PrivateFrameworks/SystemMigrationUtils : 83
PrivateFrameworks/TCC : 191
PrivateFrameworks/TTYUtilities : 4347
PrivateFrameworks/TrustEvaluationAgent : 3068
PrivateFrameworks/VCXMPP : 11581
PrivateFrameworks/WatchdogClient : 24
PrivateFrameworks/WebFilterDNS : 660
PrivateFrameworks/WebInspectorUI : 2
PrivateFrameworks/iPod : 5491
PrivateFrameworks/kperf : 1818
PrivateFrameworks/kperfdata : 1818
PrivateFrameworks/nt : 211
PrivateFrameworks/oncrpc : 2096
PrivateFrameworks/yara : 167
CoreServices/AirPort Base Station Agent : 221.7
CoreServices/AppleFileServer : 2.1
CoreServices/ODSAgent : 180.9
Applications/Feedback Assistant : 420
Frameworks/GameKit : 1069
Frameworks/MobileCoreServices : 15
Frameworks/MultipeerConnectivity : 1002
PrivateFrameworks/Accessibility : 58
PrivateFrameworks/GameCenterUI : 683
PrivateFrameworks/HomeKit : 28
PrivateFrameworks/RTTUI : 67
PrivateFrameworks/TeaUIKit : 244
PrivateFrameworks/UserNotificationsExtensionPoint : 860
