Applications/Bootstrap Studio : 5.3.1
Applications/Developer : 826.1.7
Applications/Discord : 0.0.259
Applications/Epic Games Launcher : 10.18.8
Applications/GitHub Desktop : 2.5.5
Applications/Google Chrome : 4183.102
Applications/IINA : 121
Applications/Safari : 16610.2.5
Applications/Spotify : 1.1.42.622.gbd112320-41
Applications/TotalFinder : 1.13.0
Applications/Visual Studio Code : 1.49.0
Applications/Xcode : 17219
Applications/iTerm : 3.4.0beta6
Applications/App Store : 1005.2.3.1
Applications/Books : 2164
Applications/Calendar : 2807
Applications/Contacts : 2449
Applications/Dictionary : 267
Applications/FindMy : 173
Applications/Font Book : 380
Applications/Home : 462.2.4.4.1
Applications/Mail : 3654.0.3.2.33
Applications/Maps : 2608.20.8.12.29
Applications/News : 2613.1
Applications/Notes : 1764.1
Applications/Photo Booth : 1124
Applications/Photos : 310.0.160
Applications/Podcasts : 1520.15
Applications/Preview : 1014
Applications/QuickTime Player : 1083
Applications/Reminders : 2178
Applications/Stocks : 661.1
Applications/TextEdit : 363
Utilities/Bluetooth File Exchange : 8.0.0d53
Utilities/Keychain Access : 55281.40.4
Utilities/Terminal : 439
Utilities/VoiceOver Utility : 750
Frameworks/AGL : 1535
Frameworks/AVKit : 37
Frameworks/Accelerate : 34
Frameworks/Accessibility : 77
Frameworks/Accounts : 56
Frameworks/AdSupport : 83
Frameworks/AddressBook : 34
Frameworks/AppTrackingTransparency : 83
Frameworks/AppleScriptKit : 1199
Frameworks/AppleScriptObjC : 248
Frameworks/ApplicationServices : 2158
Frameworks/AudioToolbox : 49
Frameworks/AudioUnit : 10
Frameworks/AudioVideoBridging : 156
Frameworks/AutomaticAssessmentConfiguration : 362
Frameworks/Automator : 92
Frameworks/BusinessChat : 30
Frameworks/CFNetwork : 171
Frameworks/CalendarStore : 219
Frameworks/CallKit : 105
Frameworks/Carbon : 2960
Frameworks/ClassKit : 14
Frameworks/ClockKit : 6
Frameworks/CloudKit : 274
Frameworks/Cocoa : 15140
Frameworks/Collaboration : 483
Frameworks/ColorSync : 41
Frameworks/Combine : 124
Frameworks/ContactsUI : 31
