Applications/Epic Games Launcher : 10.18.9
Applications/Google Chrome : 4183.121
Applications/Google Web Designer : 7.2.0.0
Applications/Keynote : 7028.0.88
Applications/Numbers : 7028.0.88
Applications/Pages : 7028.0.88
Applications/Steam : 2.0
Applications/iMovie : 377763
Frameworks/GameController : 216
Frameworks/GameKit : 152
Frameworks/IOUSBHost : 189
Frameworks/NetworkingDriverKit : 410
Frameworks/PCIDriverKit : 237
Frameworks/ParavirtualizedGraphics : 750
Frameworks/PassKit : 495
Frameworks/System : 45283
Frameworks/USBDriverKit : 189
PrivateFrameworks/AGXCompilerCore : 32
PrivateFrameworks/AGXGPURawCounter : 32
PrivateFrameworks/AppStoreKit : 7
PrivateFrameworks/AppleHIDTransportSupport : 864
PrivateFrameworks/AppleNVMe : 7
PrivateFrameworks/ApplePDPHelper : 11673
PrivateFrameworks/CPMS : 119
PrivateFrameworks/CoreAnalytics : 467
PrivateFrameworks/CoreBrightness : 523
PrivateFrameworks/CoreCapture : 742
PrivateFrameworks/CoreCaptureControl : 742
PrivateFrameworks/CoreCaptureDaemon : 742
PrivateFrameworks/CoreKDL : 580
PrivateFrameworks/DFRBrightness : 523
PrivateFrameworks/DeviceIdentity : 383
PrivateFrameworks/DiskImages2 : 1099
PrivateFrameworks/FWAVC : 88
PrivateFrameworks/GameCenterFoundation : 152
PrivateFrameworks/GameCenterUI : 152
PrivateFrameworks/GameCenterUICore : 152
PrivateFrameworks/HID : 348
PrivateFrameworks/IOCEC : 17358
PrivateFrameworks/IOGPU : 1056
PrivateFrameworks/IOImageLoader : 2020
PrivateFrameworks/IOPlatformPluginFamily : 174
PrivateFrameworks/IOSurfaceAccelerator : 2459
PrivateFrameworks/MSUDataAccessor : 208
PrivateFrameworks/MobileActivationMacOS : 383
PrivateFrameworks/MobileDevice : 227
PrivateFrameworks/MobileSoftwareUpdate : 7
PrivateFrameworks/MultiverseSupport : 1000
PrivateFrameworks/OSInstaller : 54
PrivateFrameworks/OSPersonalization : 224
PrivateFrameworks/PassKit : 495
PrivateFrameworks/PassKitCore : 497
PrivateFrameworks/PassKitMacHelper : 195
PrivateFrameworks/SetupAssistantFramework : 222
PrivateFrameworks/SoftwareUpdateCore : 7
PrivateFrameworks/SoftwareUpdateCoreConnect : 7
PrivateFrameworks/SoftwareUpdateCoreSupport : 7
PrivateFrameworks/SoftwareUpdateMacController : 37
PrivateFrameworks/StorageKit : 441
PrivateFrameworks/SystemMigration : 133
PrivateFrameworks/SystemMigrationNetworking : 133
PrivateFrameworks/SystemMigrationUtils : 133
PrivateFrameworks/WebContentAnalysis : 628
PrivateFrameworks/WebFilterDNS : 628
PrivateFrameworks/XARTRecovery : 225
PrivateFrameworks/acfsSupport : 38
Frameworks/GameKit : 65
Frameworks/PassKit : 195
