Applications/GitHub Desktop : 2.5.6
Applications/Safari : 16610.2.6.1.6
Applications/Xcode : 17220
Applications/iMazing : 13794
Applications/App Store : 1005.2.7
Applications/Automator : 508
Applications/Books : 2167
Applications/Calendar : 2809
Applications/Contacts : 2451
Applications/Dictionary : 268
Applications/Font Book : 382
Applications/Home : 462.2.8
Applications/Mail : 3654.0.3.2.52
Applications/Maps : 2608.20.8.12.33
Applications/News : 2623.2
Applications/Notes : 1771
Applications/Photo Booth : 1125
Applications/Photos : 310.1.110
Applications/Podcasts : 1520.26
Applications/Preview : 1015
Applications/QuickTime Player : 1084.1
Applications/Reminders : 2182
Applications/Stocks : 669
Utilities/Activity Monitor : 1087
Utilities/Bluetooth File Exchange : 8.0.0d54
Utilities/Boot Camp Assistant : 6272.40.8
Utilities/Console : 5.0.13
Utilities/Digital Color Meter : 5.21
Utilities/Disk Utility : 1714
Utilities/Keychain Access : 55281.40.5
Utilities/Terminal : 440
Utilities/VoiceOver Utility : 752.1
Frameworks/AGL : 1603
Frameworks/AVKit : 13
Frameworks/Accelerate : 83
Frameworks/Accounts : 36
Frameworks/AdSupport : 18
Frameworks/AddressBook : 40
Frameworks/AppTrackingTransparency : 18
Frameworks/AppleScriptKit : 1283
Frameworks/AppleScriptObjC : 314
Frameworks/ApplicationServices : 2326
Frameworks/AudioVideoBridging : 222
Frameworks/AutomaticAssessmentConfiguration : 514
Frameworks/Automator : 30
Frameworks/BackgroundTasks : 48
Frameworks/CFNetwork : 163
Frameworks/CalendarStore : 286
Frameworks/CallKit : 52
Frameworks/Carbon : 3154
Frameworks/ClassKit : 18
Frameworks/CloudKit : 424
Frameworks/Cocoa : 15370
Frameworks/Collaboration : 567
Frameworks/ColorSync : 61
Frameworks/Combine : 60
Frameworks/Contacts : 31
Frameworks/ContactsUI : 19
Frameworks/CoreAudio : 50
Frameworks/CoreAudioKit : 38
Frameworks/CoreAudioTypes : 37
Frameworks/CoreBluetooth : 2
Frameworks/CoreData : 120
Frameworks/CoreDisplay : 7
Frameworks/CoreHaptics : 754
Frameworks/CoreImage : 20
Frameworks/CoreLocation : 8
Frameworks/CoreMIDI : 62
Frameworks/CoreMIDIServer : 62
Frameworks/CoreML : 57
Frameworks/CoreMediaIO : 180
Frameworks/CoreMotion : 8
Frameworks/CoreServices : 56
Frameworks/CoreTelephony : 4
Frameworks/CoreText : 71
Frameworks/CoreVideo : 376
Frameworks/CryptoKit : 1137
Frameworks/CryptoTokenKit : 112
Frameworks/DVDPlayback : 48
Frameworks/DeveloperToolsSupport : 78
Frameworks/DeviceCheck : 131
Frameworks/DirectoryService : 80
Frameworks/DiscRecording : 693
Frameworks/DiscRecordingUI : 693
Frameworks/DiskArbitration : 64
Frameworks/DriverKit : 124
Frameworks/ExceptionHandling : 798
Frameworks/ExecutionPolicy : 35
Frameworks/ExternalAccessory : 163
Frameworks/FWAUserLib : 309
Frameworks/FileProvider : 16
Frameworks/FileProviderUI : 500
Frameworks/FinderSync : 18
Frameworks/ForceFeedback : 4835
Frameworks/GLKit : 1261
Frameworks/GLUT : 703
Frameworks/GSS : 53
Frameworks/GameController : 496
Frameworks/GameKit : 100
Frameworks/GameplayKit : 425
Frameworks/HIDDriverKit : 60
Frameworks/Hypervisor : 73
Frameworks/ICADevices : 49
Frameworks/IMServicePlugIn : 53
Frameworks/IOSurface : 8
Frameworks/IOUSBHost : 124
Frameworks/IdentityLookup : 52
Frameworks/ImageCaptureCore : 49
Frameworks/ImageIO : 81
Frameworks/InputMethodKit : 201
Frameworks/InstallerPlugins : 331
Frameworks/InstantMessage : 12057
Frameworks/JavaNativeFoundation : 575
Frameworks/JavaRuntimeSupport : 243
Frameworks/JavaVM : 444
Frameworks/Kerberos : 588
Frameworks/KernelManagement : 13
Frameworks/LDAP : 503
Frameworks/LatentSemanticMapping : 33
Frameworks/LinkPresentation : 525
Frameworks/LocalAuthentication : 61
Frameworks/MLCompute : 40
Frameworks/MapKit : 34
Frameworks/MediaAccessibility : 1064
Frameworks/MediaLibrary : 268
Frameworks/MediaPlayer : 16
Frameworks/Message : 13640
Frameworks/MetalKit : 4659
Frameworks/MetalPerformanceShadersGraph : 357
Frameworks/MetricKit : 2633
