Applications/Discord : 0.0.260
Applications/Epic Games Launcher : 11.0.0
Applications/GarageBand : 5413
Applications/Logi Options : 8.36.76
Applications/RunCat : 8.8.1
Applications/Safari : 16610.3.7.1.9
Applications/Turtle Beach : 43
Applications/iTerm : 3.4.3beta1
Utilities/LogiMgr Uninstaller : 8.36.76
Applications/Mail : 3654.40.0.2.32
Applications/News : 2682.0.1
Applications/Photos : 321.0.110
Applications/TextEdit : 365.1
Utilities/Bluetooth File Exchange : 8.0.2f9
Frameworks/AGL : 2122
Frameworks/AVFoundation : 38
Frameworks/AVKit : 2
Frameworks/Accelerate : 1106
Frameworks/Accessibility : 38
Frameworks/Accounts : 647
Frameworks/AdServices : 84
Frameworks/AdSupport : 95
Frameworks/AddressBook : 71
Frameworks/AppTrackingTransparency : 95
Frameworks/AppleScriptKit : 1829
Frameworks/AppleScriptObjC : 46
Frameworks/ApplicationServices : 4358
Frameworks/AudioToolbox : 53
Frameworks/AudioVideoBridging : 413
Frameworks/AutomaticAssessmentConfiguration : 859
Frameworks/BackgroundTasks : 6
Frameworks/CFNetwork : 13
Frameworks/CalendarStore : 816
Frameworks/CallKit : 70
Frameworks/Carbon : 5521
Frameworks/ClassKit : 54
Frameworks/CloudKit : 458
Frameworks/Cocoa : 17407
Frameworks/Collaboration : 1103
Frameworks/ColorSync : 1298
Frameworks/Combine : 1816
Frameworks/Contacts : 63
Frameworks/ContactsUI : 162
Frameworks/CoreAudio : 852
Frameworks/CoreAudioKit : 97
Frameworks/CoreAudioTypes : 52
Frameworks/CoreBluetooth : 11
Frameworks/CoreData : 300
Frameworks/CoreFoundation : 187
Frameworks/CoreGraphics : 1
Frameworks/CoreHaptics : 1863
Frameworks/CoreImage : 322
Frameworks/CoreLocation : 68
Frameworks/CoreMIDI : 376
Frameworks/CoreMIDIServer : 376
Frameworks/CoreML : 553
Frameworks/CoreMediaIO : 1658
Frameworks/CoreMotion : 68
Frameworks/CoreServices : 26
Frameworks/CoreText : 262
Frameworks/CoreVideo : 524
Frameworks/CryptoKit : 48
Frameworks/CryptoTokenKit : 16
Frameworks/DVDPlayback : 265
Frameworks/DeveloperToolsSupport : 2692
Frameworks/DeviceCheck : 1065
Frameworks/DirectoryService : 610
Frameworks/DiscRecording : 1312
Frameworks/DiscRecordingUI : 1312
Frameworks/DiskArbitration : 486
Frameworks/DriverKit : 69
Frameworks/EventKit : 131
Frameworks/ExceptionHandling : 1332
Frameworks/ExternalAccessory : 151
Frameworks/FWAUserLib : 828
Frameworks/FileProvider : 2
Frameworks/FileProviderUI : 1537
Frameworks/ForceFeedback : 5370
Frameworks/Foundation : 205
Frameworks/GLKit : 2971
Frameworks/GLUT : 1236
Frameworks/GSS : 980
Frameworks/GameController : 664
Frameworks/GameKit : 64
Frameworks/GameplayKit : 1731
Frameworks/HIDDriverKit : 9
Frameworks/Hypervisor : 74
Frameworks/ICADevices : 944
Frameworks/IOKit : 149
Frameworks/IOSurface : 124
Frameworks/IOUSBHost : 79
Frameworks/IdentityLookup : 70
Frameworks/ImageCaptureCore : 944
Frameworks/InputMethodKit : 13
Frameworks/InstallerPlugins : 472
Frameworks/InstantMessage : 12585
Frameworks/Intents : 75
Frameworks/JavaNativeFoundation : 1116
Frameworks/JavaRuntimeSupport : 769
Frameworks/JavaVM : 973
Frameworks/Kerberos : 1103
Frameworks/LDAP : 882
Frameworks/LatentSemanticMapping : 575
Frameworks/LinkPresentation : 217
Frameworks/LocalAuthentication : 43
Frameworks/MLCompute : 366
Frameworks/MapKit : 82
Frameworks/MediaAccessibility : 2659
Frameworks/MediaLibrary : 889
Frameworks/Message : 14153
Frameworks/Metal : 14
Frameworks/MetalKit : 6126
Frameworks/MetalPerformanceShadersGraph : 615
Frameworks/MetricKit : 3153
Frameworks/ModelIO : 393
Frameworks/MultipeerConnectivity : 938
Frameworks/NaturalLanguage : 1901
Frameworks/NearbyInteraction : 66
Frameworks/NetFS : 117
Frameworks/Network : 22
Frameworks/NetworkingDriverKit : 533
Frameworks/NotificationCenter : 23
Frameworks/OSAKit : 1062
Frameworks/OSLog : 85
Frameworks/OpenAL : 537
Frameworks/OpenCL : 785
Frameworks/OpenDirectory : 610
Frameworks/OpenGL : 13
Frameworks/PCIDriverKit : 304
Frameworks/ParavirtualizedGraphics : 169
Frameworks/PassKit : 103
Frameworks/PencilKit : 284
Frameworks/PreferencePanes : 710
Frameworks/PushKit : 3462
Frameworks/Python : 255
Frameworks/QTKit : 3210
Frameworks/Quartz : 1965
Frameworks/QuickLook : 206
Frameworks/QuickLookThumbnailing : 87
Frameworks/RealityKit : 171
Frameworks/ReplayKit : 54
Frameworks/Ruby : 636
Frameworks/SceneKit : 1301
Frameworks/ScreenSaver : 105
Frameworks/ScreenTime : 182
Frameworks/ScriptingBridge : 1368
Frameworks/Security : 55
