Applications/Developer : 840.2.2
Applications/GitHub Desktop : 2.6.1
Applications/MacForge : 5977
Applications/RunCat : 8.9.0
Applications/Safari : 16610.4.2
Applications/Xcode : 17715
Applications/iMovie : 382321
Utilities/Logitech Unifying Software : 1.3
Applications/App Store : 1005.4.2
Applications/Home : 462.4.2
Applications/Mail : 3654.60.0.2.2
Applications/Maps : 2608.23.11.29.3
Applications/News : 2688
Applications/Notes : 1821
Applications/Photos : 330.0.110
Applications/Stocks : 709
Utilities/Bluetooth File Exchange : 8.0.3d2
Utilities/ColorSync Utility : 340
Utilities/Migration Assistant : 11.2
Utilities/VoiceOver Utility : 767.1.2
Frameworks/AGL : 2158
Frameworks/AVFoundation : 75
Frameworks/Accelerate : 1193
Frameworks/Accessibility : 20
Frameworks/Accounts : 192
Frameworks/AdServices : 96
Frameworks/AdSupport : 106
Frameworks/AddressBook : 98
Frameworks/AppTrackingTransparency : 106
Frameworks/AppleScriptKit : 1867
Frameworks/AppleScriptObjC : 82
Frameworks/ApplicationServices : 4540
Frameworks/AudioToolbox : 99
Frameworks/AudioUnit : 25
Frameworks/AudioVideoBridging : 453
Frameworks/AutomaticAssessmentConfiguration : 918
Frameworks/Automator : 520
Frameworks/BackgroundTasks : 17
Frameworks/BusinessChat : 82
Frameworks/CFNetwork : 26
Frameworks/CalendarStore : 851
Frameworks/CallKit : 8
Frameworks/Carbon : 5709
Frameworks/ClassKit : 42
Frameworks/CloudKit : 20
Frameworks/Cocoa : 17558
Frameworks/Collaboration : 1143
Frameworks/ColorSync : 1463
Frameworks/Combine : 1869
Frameworks/Contacts : 88
Frameworks/ContactsUI : 233
Frameworks/CoreAudio : 965
Frameworks/CoreAudioKit : 108
Frameworks/CoreAudioTypes : 98
Frameworks/CoreBluetooth : 9
Frameworks/CoreData : 412
Frameworks/CoreDisplay : 24
Frameworks/CoreFoundation : 233
Frameworks/CoreGraphics : 11
Frameworks/CoreHaptics : 1962
Frameworks/CoreImage : 71
Frameworks/CoreMIDI : 35
Frameworks/CoreMIDIServer : 35
Frameworks/CoreML : 616
Frameworks/CoreMediaIO : 1755
Frameworks/CoreServices : 35
Frameworks/CoreTelephony : 75
Frameworks/CoreText : 381
Frameworks/CoreVideo : 541
Frameworks/CoreWLAN : 7
Frameworks/CryptoKit : 90
Frameworks/DVDPlayback : 289
Frameworks/DeveloperToolsSupport : 2750
Frameworks/DeviceCheck : 1143
Frameworks/DirectoryService : 634
Frameworks/DiscRecording : 1325
Frameworks/DiscRecordingUI : 1325
Frameworks/DiskArbitration : 509
Frameworks/DriverKit : 117
Frameworks/EventKit : 176
Frameworks/ExceptionHandling : 1370
Frameworks/ExecutionPolicy : 46
Frameworks/ExternalAccessory : 248
Frameworks/FWAUserLib : 839
Frameworks/FileProviderUI : 1631
Frameworks/ForceFeedback : 5405
Frameworks/Foundation : 253
Frameworks/GLKit : 3163
Frameworks/GLUT : 1276
Frameworks/GSS : 1104
Frameworks/GameController : 320
Frameworks/GameKit : 105
Frameworks/GameplayKit : 1858
Frameworks/Hypervisor : 92
Frameworks/ICADevices : 313
Frameworks/IOKit : 169
Frameworks/IOSurface : 135
Frameworks/IOUSBHost : 150
Frameworks/IdentityLookup : 8
Frameworks/ImageCaptureCore : 313
Frameworks/ImageIO : 43
Frameworks/InputMethodKit : 41
Frameworks/InstallerPlugins : 517
Frameworks/InstantMessage : 12622
Frameworks/JavaNativeFoundation : 1151
Frameworks/JavaRuntimeSupport : 781
Frameworks/JavaScriptCore : 20
Frameworks/JavaVM : 1008
Frameworks/Kerberos : 1138
Frameworks/LDAP : 905
Frameworks/LatentSemanticMapping : 612
Frameworks/LinkPresentation : 312
Frameworks/LocalAuthentication : 11
Frameworks/MLCompute : 438
Frameworks/MapKit : 8
Frameworks/MediaAccessibility : 2815
Frameworks/MediaLibrary : 927
Frameworks/Message : 14188
Frameworks/MetalKit : 6192
Frameworks/MetalPerformanceShaders : 24
Frameworks/MetalPerformanceShadersGraph : 664
Frameworks/MetricKit : 3202
Frameworks/ModelIO : 61
Frameworks/MultipeerConnectivity : 1065
Frameworks/NaturalLanguage : 2003
Frameworks/NearbyInteraction : 24
Frameworks/Network : 34
Frameworks/NetworkExtension : 154
Frameworks/NetworkingDriverKit : 584
Frameworks/OSAKit : 1103
Frameworks/OSLog : 64
Frameworks/OpenAL : 572
Frameworks/OpenCL : 833
Frameworks/OpenDirectory : 634
Frameworks/OpenGL : 25
Frameworks/PCIDriverKit : 379
Frameworks/PDFKit : 20
Frameworks/ParavirtualizedGraphics : 209
Frameworks/PassKit : 14
Frameworks/PencilKit : 306
Frameworks/Photos : 12
Frameworks/PhotosUI : 9
Frameworks/PreferencePanes : 748
Frameworks/PushKit : 3563
Frameworks/Python : 325
Frameworks/QTKit : 3246
Frameworks/Quartz : 2019
Frameworks/QuickLook : 304
Frameworks/QuickLookThumbnailing : 112
Frameworks/RealityKit : 177
Frameworks/ReplayKit : 245
Frameworks/Ruby : 669
Frameworks/SceneKit : 1354
Frameworks/ScreenSaver : 147
Frameworks/ScreenTime : 266
Frameworks/ScriptingBridge : 1404
Frameworks/Security : 13
Frameworks/SecurityFoundation : 1404
Frameworks/SecurityInterface : 831
Frameworks/SensorKit : 6
Frameworks/Social : 479
Frameworks/SoundAnalysis : 83
Frameworks/Speech : 255
Frameworks/SpriteKit : 1825
Frameworks/StoreKit : 9
Frameworks/SyncServices : 644
Frameworks/System : 2662
Frameworks/SystemConfiguration : 162
Frameworks/TWAIN : 1450
Frameworks/Tcl : 1
Frameworks/Tk : 1
Frameworks/USBDriverKit : 150
Frameworks/UniformTypeIdentifiers : 10
Frameworks/UserNotifications : 740
Frameworks/UserNotificationsUI : 171
Frameworks/VideoDecodeAcceleration : 6712
Frameworks/VideoSubscriberAccount : 92
Frameworks/Virtualization : 48
Frameworks/WebKit : 25
Frameworks/WidgetKit : 21
Frameworks/_AuthenticationServices_SwiftUI : 7
Frameworks/_MapKit_SwiftUI : 8
Frameworks/_QuickLook_SwiftUI : 1824
Frameworks/_SceneKit_SwiftUI : 2882
Frameworks/_SpriteKit_SwiftUI : 4815
Frameworks/_StoreKit_SwiftUI : 9
Frameworks/vecLib : 1193
Frameworks/vmnet : 298
PrivateFrameworks/AACCore : 415
PrivateFrameworks/ACDEClient : 875
PrivateFrameworks/AFKUser : 22
PrivateFrameworks/AGXCompilerCore : 179
PrivateFrameworks/AGXGPURawCounter : 179
PrivateFrameworks/AMPLibrary : 24
PrivateFrameworks/AMPSharing : 23
PrivateFrameworks/ANECompiler : 1124
PrivateFrameworks/ANEHostCompiler : 1124
PrivateFrameworks/ANEServices : 79
PrivateFrameworks/AOSAccounts : 2016
PrivateFrameworks/AOSAccountsLite : 2016
PrivateFrameworks/AOSKit : 449
PrivateFrameworks/AOSUI : 558
PrivateFrameworks/APFS : 37
PrivateFrameworks/ASEProcessing : 1054
PrivateFrameworks/AVConference : 27
PrivateFrameworks/AVFCapture : 73
PrivateFrameworks/AVFCore : 70
PrivateFrameworks/AVFoundationCF : 77
PrivateFrameworks/AXAssetLoader : 12
PrivateFrameworks/AXHearingCoreSupport : 6002
PrivateFrameworks/AXHearingSupport : 6002
PrivateFrameworks/AXMediaUtilities : 386
PrivateFrameworks/AccessibilityPerformance : 454
PrivateFrameworks/AccessibilityPlatformTranslation : 20
PrivateFrameworks/AccessibilitySharedSupport : 20
PrivateFrameworks/AccessibilitySupport : 454
PrivateFrameworks/AccessoryNowPlaying : 93
PrivateFrameworks/AccountPolicy : 574
PrivateFrameworks/AccountsDaemon : 192
PrivateFrameworks/AccountsUI : 712
PrivateFrameworks/ActionKit : 88
PrivateFrameworks/AdAnalytics : 632
PrivateFrameworks/AdCore : 108
PrivateFrameworks/AdID : 108
PrivateFrameworks/AdPlatforms : 108
PrivateFrameworks/AdPlatformsCommon : 96
PrivateFrameworks/AdPlatformsInternal : 108
PrivateFrameworks/AddressBookAutocomplete : 233
PrivateFrameworks/AddressBookCore : 98
PrivateFrameworks/Admin : 279
PrivateFrameworks/AggregateDictionary : 1196
PrivateFrameworks/AggregateDictionaryHistory : 1196
PrivateFrameworks/AirPlayReceiver : 25
PrivateFrameworks/AirPlaySender : 25
PrivateFrameworks/AirTrafficHost : 60
PrivateFrameworks/AlgosScoreFramework : 319
PrivateFrameworks/AmbientDisplay : 801
PrivateFrameworks/AppAttestInternal : 1143
PrivateFrameworks/AppContainer : 124
PrivateFrameworks/AppSSO : 12
PrivateFrameworks/AppSSOCore : 12
PrivateFrameworks/AppSSOKerberos : 12
PrivateFrameworks/AppSSOUI : 12
