Applications/AltTab : 6.12.0
Applications/BootBuddy : 1
Applications/Bootstrap Studio : 5.5.1
Applications/Epic Games Launcher : 12.0.0
Applications/Gifski : 44
Applications/Google Chrome : 4280.141
Applications/Itsycal : 2052
Applications/Keka : 4371
Applications/PBE : 1
Applications/SF Symbols : 44
Applications/Safari : 16610.4.3
Applications/Skim : 129
Applications/XnConvert : 1.90.1
Applications/iTerm : 3.4.4beta2
Applications/zoom.us : 5.4.59780.1220
Applications/Contacts : 2452.3
Applications/FindMy : 189.0.7
Applications/Home : 462.4.12.0.1
Applications/Launchpad : 52.1
Applications/Mail : 3654.60.0.2.5
Applications/Maps : 2608.23.11.29.4
Applications/Mission Control : 52.1
Applications/Music : 1.1.3
Applications/News : 2696
Applications/Photos : 330.0.150
Applications/Reminders : 2185.1
Applications/Siri : 52.1
Applications/Stocks : 710
Applications/TV : 1.1.3
Applications/TextEdit : 365.2
Applications/Time Machine : 52.1
Utilities/Bluetooth File Exchange : 8.0.3d8
Utilities/Disk Utility : 1715
Utilities/Screenshot : 52.1
Utilities/VoiceOver Utility : 767.1.3
Frameworks/AGL : 2219
Frameworks/AVFoundation : 253
Frameworks/AVKit : 49
Frameworks/Accelerate : 1230
Frameworks/Accessibility : 60
Frameworks/AdServices : 99
Frameworks/AdSupport : 109
Frameworks/AppKit : 12
Frameworks/AppTrackingTransparency : 109
Frameworks/AppleScriptKit : 1927
Frameworks/AppleScriptObjC : 138
Frameworks/ApplicationServices : 4728
Frameworks/AudioToolbox : 20
Frameworks/AudioVideoBridging : 2
Frameworks/AutomaticAssessmentConfiguration : 1024
Frameworks/Automator : 584
Frameworks/BackgroundTasks : 7
Frameworks/BusinessChat : 88
Frameworks/CFNetwork : 11
Frameworks/CalendarStore : 907
Frameworks/CallKit : 15
Frameworks/Carbon : 5943
Frameworks/ClassKit : 4
Frameworks/CloudKit : 33
Frameworks/Cocoa : 17815
Frameworks/Collaboration : 1204
Frameworks/ColorSync : 62
Frameworks/Combine : 1897
Frameworks/Contacts : 119
Frameworks/CoreAudioKit : 111
Frameworks/CoreAudioTypes : 20
Frameworks/CoreData : 521
Frameworks/CoreDisplay : 27
Frameworks/CoreFoundation : 6
Frameworks/CoreHaptics : 2066
Frameworks/CoreImage : 265
Frameworks/CoreML : 649
Frameworks/CoreMediaIO : 1860
Frameworks/CoreServices : 50
Frameworks/CryptoKit : 105
Frameworks/DVDPlayback : 311
Frameworks/DeveloperToolsSupport : 2773
Frameworks/DeviceCheck : 1313
Frameworks/DirectoryService : 656
Frameworks/DiscRecording : 1329
Frameworks/DiscRecordingUI : 1329
Frameworks/DiskArbitration : 532
Frameworks/DriverKit : 137
Frameworks/EventKit : 247
Frameworks/ExceptionHandling : 1426
Frameworks/ExternalAccessory : 362
Frameworks/FWAUserLib : 842
Frameworks/FileProviderUI : 1790
Frameworks/FinderSync : 29
Frameworks/ForceFeedback : 5460
Frameworks/Foundation : 6
Frameworks/GLKit : 3432
Frameworks/GLUT : 1343
Frameworks/GSS : 36
Frameworks/GameController : 15
Frameworks/GameKit : 219
Frameworks/GameplayKit : 2061
Frameworks/HIDDriverKit : 15
Frameworks/ICADevices : 387
Frameworks/IMServicePlugIn : 39
Frameworks/IOSurface : 138
Frameworks/IOUSBHost : 30
Frameworks/IdentityLookup : 15
Frameworks/ImageCaptureCore : 387
Frameworks/ImageIO : 62
Frameworks/InstallerPlugins : 574
Frameworks/InstantMessage : 12678
Frameworks/JavaNativeFoundation : 1208
Frameworks/JavaRuntimeSupport : 784
Frameworks/JavaVM : 1068
Frameworks/Kerberos : 1193
Frameworks/LDAP : 5
Frameworks/LatentSemanticMapping : 669
Frameworks/LinkPresentation : 414
Frameworks/LocalAuthentication : 20
Frameworks/MLCompute : 31
Frameworks/MediaAccessibility : 2945
Frameworks/MediaLibrary : 986
Frameworks/Message : 14243
Frameworks/Metal : 28
Frameworks/MetalKit : 6258
Frameworks/MetalPerformanceShadersGraph : 730
Frameworks/MetricKit : 3222
Frameworks/ModelIO : 31
Frameworks/MultipeerConnectivity : 1260
Frameworks/NaturalLanguage : 2114
Frameworks/NearbyInteraction : 15
Frameworks/NetworkExtension : 11
Frameworks/NetworkingDriverKit : 55
Frameworks/OSAKit : 1165
Frameworks/OpenAL : 627
Frameworks/OpenCL : 916
Frameworks/OpenDirectory : 656
Frameworks/OpenGL : 28
Frameworks/PCIDriverKit : 69
Frameworks/PCSC : 3
Frameworks/PDFKit : 23
Frameworks/ParavirtualizedGraphics : 275
Frameworks/PassKit : 1
Frameworks/PencilKit : 320
Frameworks/Photos : 117
Frameworks/PhotosUI : 98
Frameworks/PreferencePanes : 805
Frameworks/PushKit : 3666
Frameworks/Python : 370
Frameworks/QTKit : 3305
Frameworks/Quartz : 2151
Frameworks/QuickLook : 76
Frameworks/QuickLookThumbnailing : 129
Frameworks/RealityKit : 187
Frameworks/ReplayKit : 115
Frameworks/Ruby : 701
Frameworks/SceneKit : 1382
Frameworks/ScreenSaver : 207
Frameworks/ScreenTime : 491
Frameworks/ScriptingBridge : 1460
Frameworks/SecurityFoundation : 1636
Frameworks/SecurityInterface : 891
Frameworks/ServiceManagement : 12
Frameworks/Social : 506
Frameworks/SoundAnalysis : 98
Frameworks/Speech : 270
Frameworks/SpriteKit : 1840
Frameworks/SyncServices : 704
Frameworks/System : 3070
Frameworks/SystemConfiguration : 250
Frameworks/SystemExtensions : 9
Frameworks/TWAIN : 1510
Frameworks/Tcl : 7
Frameworks/Tk : 7
Frameworks/USBDriverKit : 30
Frameworks/UniformTypeIdentifiers : 13
Frameworks/UserNotifications : 263
Frameworks/UserNotificationsUI : 184
Frameworks/VideoDecodeAcceleration : 6767
Frameworks/VideoSubscriberAccount : 96
Frameworks/Vision : 581
Frameworks/WebKit : 12
Frameworks/WidgetKit : 10
Frameworks/_MapKit_SwiftUI : 14
Frameworks/_QuickLook_SwiftUI : 157
Frameworks/_SceneKit_SwiftUI : 2961
Frameworks/_SpriteKit_SwiftUI : 4843
Frameworks/_StoreKit_SwiftUI : 31
Frameworks/vecLib : 1230
Frameworks/vmnet : 301
PrivateFrameworks/AACCore : 472
PrivateFrameworks/ACDEClient : 937
PrivateFrameworks/AFKUser : 40
PrivateFrameworks/ANECompiler : 1152
PrivateFrameworks/ANEHostCompiler : 1149
PrivateFrameworks/ANEServices : 6
PrivateFrameworks/AOSAccounts : 2263
PrivateFrameworks/AOSAccountsLite : 2263
PrivateFrameworks/AOSKit : 505
PrivateFrameworks/AOSUI : 730
PrivateFrameworks/APTransport : 275
PrivateFrameworks/ASEProcessing : 1241
PrivateFrameworks/AVConference : 1402
PrivateFrameworks/AVFCapture : 31
PrivateFrameworks/AVFCore : 245
PrivateFrameworks/AVFoundationCF : 87
PrivateFrameworks/AXAssetLoader : 17
PrivateFrameworks/AXCoreUtilities : 17
PrivateFrameworks/AXHearingCoreSupport : 6063
PrivateFrameworks/AXHearingSupport : 6063
PrivateFrameworks/AXMediaUtilities : 484
PrivateFrameworks/AXRuntime : 17
PrivateFrameworks/AccessibilityBundles : 35
PrivateFrameworks/AccessibilityPerformance : 481
PrivateFrameworks/AccessibilityPlatformTranslation : 60
PrivateFrameworks/AccessibilitySharedSupport : 60
PrivateFrameworks/AccessibilitySupport : 481
PrivateFrameworks/AccessoryNowPlaying : 13
PrivateFrameworks/AccountPolicy : 596
PrivateFrameworks/AccountsUI : 808
PrivateFrameworks/ActionKit : 73
PrivateFrameworks/AdAnalytics : 635
PrivateFrameworks/AdCore : 111
PrivateFrameworks/AdID : 111
PrivateFrameworks/AdPlatforms : 111
PrivateFrameworks/AdPlatformsCommon : 99
PrivateFrameworks/AdPlatformsInternal : 111
PrivateFrameworks/Admin : 15
PrivateFrameworks/AggregateDictionary : 1218
PrivateFrameworks/AggregateDictionaryHistory : 1218
PrivateFrameworks/AirPlayReceiver : 194
PrivateFrameworks/AirPlaySender : 194
PrivateFrameworks/AirPlaySupport : 275
PrivateFrameworks/AirTrafficHost : 63
PrivateFrameworks/AlgosScoreFramework : 322
PrivateFrameworks/AmbientDisplay : 855
PrivateFrameworks/AnnotationKit : 679
PrivateFrameworks/AppAttestInternal : 1313
PrivateFrameworks/AppContainer : 127
PrivateFrameworks/AppSSO : 49
PrivateFrameworks/AppSSOCore : 49
PrivateFrameworks/AppSSOKerberos : 49
PrivateFrameworks/AppSSOUI : 49
PrivateFrameworks/AppSandbox : 127
PrivateFrameworks/AppServerSupport : 12
PrivateFrameworks/AppStoreComponents : 19
PrivateFrameworks/AppStoreDaemon : 32
PrivateFrameworks/AppStoreFoundation : 32
PrivateFrameworks/AppStoreUI : 5
PrivateFrameworks/AppSupport : 559
PrivateFrameworks/AppSupportUI : 4900
PrivateFrameworks/AppleAccount : 310
PrivateFrameworks/AppleAppSupport : 2151
PrivateFrameworks/AppleCVA : 225
PrivateFrameworks/AppleFSCompression : 12240
PrivateFrameworks/AppleFirmwareUpdate : 20
PrivateFrameworks/AppleGVA : 17
PrivateFrameworks/AppleGVACore : 17
PrivateFrameworks/AppleHIDTransportSupport : 2349
PrivateFrameworks/AppleIDAuthSupport : 3275
PrivateFrameworks/AppleIDSSOAuthentication : 3038
PrivateFrameworks/AppleJPEG : 488
PrivateFrameworks/AppleLDAP : 3167
PrivateFrameworks/AppleLOM : 13
PrivateFrameworks/AppleMediaServices : 32
PrivateFrameworks/AppleMediaServicesUI : 21
PrivateFrameworks/AppleMediaServicesUIDynamic : 29
PrivateFrameworks/AppleNVMe : 730
PrivateFrameworks/AppleNeuralEngine : 685
PrivateFrameworks/ApplePDPHelper : 17279
PrivateFrameworks/ApplePushService : 186
PrivateFrameworks/AppleSRP : 14796
PrivateFrameworks/AppleSauce : 2297
PrivateFrameworks/AppleScript : 650
PrivateFrameworks/AppleServiceToolkit : 789
PrivateFrameworks/AppleShareClientCore : 1110
PrivateFrameworks/AppleSystemInfo : 452
PrivateFrameworks/AppleVA : 914
PrivateFrameworks/AppleVPA : 17
PrivateFrameworks/AskPermission : 19
PrivateFrameworks/AssertionServices : 82
PrivateFrameworks/AssetCacheServices : 808
PrivateFrameworks/AssetCacheServicesExtensions : 808
PrivateFrameworks/AssetViewer : 497
PrivateFrameworks/AssetsLibraryServices : 117
PrivateFrameworks/AssistantServices : 31
PrivateFrameworks/AssistiveControlSupport : 179
PrivateFrameworks/AttributeGraph : 2464
PrivateFrameworks/AudioAnalytics : 3
PrivateFrameworks/AudioDSPManager : 772
PrivateFrameworks/AudioHistory : 772
PrivateFrameworks/AudioPasscode : 1166
PrivateFrameworks/AudioResourceArbitration : 683
PrivateFrameworks/AudioServerApplication : 385
PrivateFrameworks/AudioServerDriver : 385
PrivateFrameworks/AudioSession : 914
PrivateFrameworks/AudioToolboxCore : 20
PrivateFrameworks/AudioTransportCommon : 3691
PrivateFrameworks/AuthKit : 20
PrivateFrameworks/AuthKitUI : 20
PrivateFrameworks/AutoBugCaptureCore : 2186
PrivateFrameworks/AutoLoop : 6086
PrivateFrameworks/BackBoardServices : 89
PrivateFrameworks/BackgroundTaskManagement : 265
PrivateFrameworks/BaseBoard : 2015
PrivateFrameworks/BatteryUIKit : 944
PrivateFrameworks/BehaviorMiner : 1077
PrivateFrameworks/BezelServices : 452
PrivateFrameworks/BioKitAggD : 14265
PrivateFrameworks/BiomeFoundation : 59
PrivateFrameworks/BiomePubSub : 59
PrivateFrameworks/BiomeStorage : 59
PrivateFrameworks/BiomeStreams : 59
PrivateFrameworks/BiometricKit : 35
PrivateFrameworks/BiometricKitUI : 21
PrivateFrameworks/BiometricSupport : 26
PrivateFrameworks/BlastDoor : 679
PrivateFrameworks/BoardServices : 2015
PrivateFrameworks/Bom : 1237
PrivateFrameworks/BookCoverUtility : 204
PrivateFrameworks/BookKit : 204
PrivateFrameworks/BookKitFoundation : 204
PrivateFrameworks/BookUtility : 204
PrivateFrameworks/Bootability : 3
PrivateFrameworks/BridgeOSInstall : 739
PrivateFrameworks/BridgeOSInstallReporting : 739
PrivateFrameworks/BridgeOSObliteration : 14
PrivateFrameworks/BridgeOSSoftwareUpdate : 4254
PrivateFrameworks/BridgeXPC : 5388
PrivateFrameworks/BulkSymbolication : 1594
PrivateFrameworks/ByteRangeLocking : 4401
PrivateFrameworks/C2 : 1586
PrivateFrameworks/CMCapture : 31
PrivateFrameworks/CMCaptureCore : 31
PrivateFrameworks/CPAnalytics : 117
PrivateFrameworks/CPMLBestShim : 5602
PrivateFrameworks/CPMS : 128
PrivateFrameworks/CSCSupport : 44
PrivateFrameworks/CVNLP : 861
PrivateFrameworks/CalDAV : 928
PrivateFrameworks/Calculate : 746
PrivateFrameworks/CalendarAgent : 577
PrivateFrameworks/CalendarAgentLink : 732
PrivateFrameworks/CalendarDraw : 830
PrivateFrameworks/CalendarFoundation : 154
PrivateFrameworks/CalendarNotification : 317
PrivateFrameworks/CalendarPersistence : 110
PrivateFrameworks/CalendarUI : 388
PrivateFrameworks/CalendarWidget : 1575
PrivateFrameworks/CallHistory : 19
PrivateFrameworks/CameraImagingFramework : 6606
PrivateFrameworks/CaptiveNetwork : 650
PrivateFrameworks/CardKit : 5
PrivateFrameworks/CardServices : 5
PrivateFrameworks/Cards : 5
PrivateFrameworks/Catalyst : 5205
PrivateFrameworks/Categories : 2314
PrivateFrameworks/CharacterPicker : 480
PrivateFrameworks/ChronoKit : 10
PrivateFrameworks/ChronoServices : 10
PrivateFrameworks/ChronoUIServices : 5
PrivateFrameworks/ChunkingLibrary : 3539
PrivateFrameworks/ClassKit : 4
PrivateFrameworks/ClassKitUI : 4
PrivateFrameworks/ClassroomKit : 115
PrivateFrameworks/ClockMenuExtraPreferences : 761
PrivateFrameworks/CloudDocs : 101
PrivateFrameworks/CloudDocsDaemon : 115
PrivateFrameworks/CloudFamilyRestrictions : 978
PrivateFrameworks/CloudFamilyRestrictionsDaemon : 978
PrivateFrameworks/CloudKitCode : 33
